FX,possition,date,name,value
EUR,buy,2024-04-02T18:00:00Z,mean_value,417.2758620689655
EUR,buy,2024-04-02T18:00:00Z,max_value,418
EUR,buy,2024-04-02T18:00:00Z,min_value,417
EUR,buy,2024-04-02T19:00:00Z,mean_value,417.3181818181818
EUR,buy,2024-04-02T19:00:00Z,max_value,418
EUR,buy,2024-04-02T19:00:00Z,min_value,417
EUR,buy,2024-04-02T20:00:00Z,mean_value,417.14814814814815
EUR,buy,2024-04-02T20:00:00Z,max_value,418
EUR,buy,2024-04-02T20:00:00Z,min_value,417
EUR,buy,2024-04-02T21:00:00Z,mean_value,417.2
EUR,buy,2024-04-02T21:00:00Z,max_value,418
EUR,buy,2024-04-02T21:00:00Z,min_value,417
EUR,buy,2024-04-02T22:00:00Z,mean_value,417.0833333333333
EUR,buy,2024-04-02T22:00:00Z,max_value,418
EUR,buy,2024-04-02T22:00:00Z,min_value,417
EUR,buy,2024-04-02T23:00:00Z,mean_value,417
EUR,buy,2024-04-02T23:00:00Z,max_value,417
EUR,buy,2024-04-02T23:00:00Z,min_value,417
EUR,buy,2024-04-03T00:00:00Z,mean_value,417
EUR,buy,2024-04-03T00:00:00Z,max_value,417
EUR,buy,2024-04-03T00:00:00Z,min_value,417
EUR,buy,2024-04-03T01:00:00Z,mean_value,417
EUR,buy,2024-04-03T01:00:00Z,max_value,417
EUR,buy,2024-04-03T01:00:00Z,min_value,417
EUR,buy,2024-04-03T02:00:00Z,mean_value,417
EUR,buy,2024-04-03T02:00:00Z,max_value,417
EUR,buy,2024-04-03T02:00:00Z,min_value,417
EUR,buy,2024-04-03T05:00:00Z,mean_value,417
EUR,buy,2024-04-03T05:00:00Z,max_value,417
EUR,buy,2024-04-03T05:00:00Z,min_value,417
EUR,buy,2024-04-03T06:00:00Z,mean_value,417
EUR,buy,2024-04-03T06:00:00Z,max_value,417
EUR,buy,2024-04-03T06:00:00Z,min_value,417
EUR,buy,2024-04-03T07:00:00Z,mean_value,417
EUR,buy,2024-04-03T07:00:00Z,max_value,417
EUR,buy,2024-04-03T07:00:00Z,min_value,417
EUR,buy,2024-04-03T08:00:00Z,mean_value,417
EUR,buy,2024-04-03T08:00:00Z,max_value,417
EUR,buy,2024-04-03T08:00:00Z,min_value,417
EUR,buy,2024-04-03T09:00:00Z,mean_value,417
EUR,buy,2024-04-03T09:00:00Z,max_value,417
EUR,buy,2024-04-03T09:00:00Z,min_value,417
