year,commodity_code,commodity,reexports,X,pct,pct_cum,reexports_text,pct_text,prop_reexport,prop_reexport_text
2012,903031,"Multimeters; for measuring or checking voltage, current, resistance or power (other than those for measuring or checking semiconductor wafer or devices), without a recording device",26375.599999999995,32526.579999999998,2.4540482550914646e-4,0.9904468756193915,0.0,0.0%,0.8108937367531415,81.1%
2023,846039,"Machine-tools; sharpening (tool or cutter grinding) machines, other than numerically controlled",26370.67,26370.67,6.364843668883086e-6,0.9993163356939272,0.0,0.0%,1,100.0%
2019,870331,"Vehicles; with only compression-ignition internal combustion piston engine (diesel or semi-diesel), cylinder capacity not over 1500cc",26346.17,27400,2.877673526402118e-4,0.9810455118887315,0.0,0.0%,0.9615390510948905,96.2%
2016,961700,"Vacuum flasks and other vacuum vessels, complete with cases; parts thereof other than glass inners",26337,26337,2.1112565621546667e-4,0.9900630367500157,0.0,0.0%,1,100.0%
2012,910121,"Wrist-watches; (not electrically operated), automatic winding, whether or not incorporating a stop-watch facility, case of precious metal or of metal clad with precious metal",26318.42,152105,2.448728092546304e-4,0.990691748428646,0.0,0.0%,0.17302797409684098,17.3%
2021,845221,"Sewing machines; (not household type), automatic units",26312.160000000003,26312.160000000003,1.5773925821091622e-4,0.9881518538384472,0.0,0.0%,1,100.0%
2022,901841,"Dental instruments and appliances; dental drill engines, whether or not combined on a single base with other dental equipment",26269.26,26269.26,1.784914597509701e-5,0.9981093117675628,0.0,0.0%,1,100.0%
2021,851430,NA,26249.69,26249.69,1.573647556440256e-4,0.9883092185940912,0.0,0.0%,1,100.0%
2023,732591,"Iron; grinding balls and similar articles for mills, other than of non-malleable cast iron",26219.18,50800.94,6.3282799347269545e-6,0.9993226639738619,0.0,0.0%,0.5161160403724813,51.6%
2021,844130,"Machines; for making cartons, boxes, cases, tubes, drums or similar containers (other than by moulding), of paper pulp, paper or paperboard",26216.44,26216.44,1.5716542459953846e-4,0.9884663840186907,0.0,0.0%,1,100.0%
2023,961511,"Combs, hair slides and the like; of hard rubber or plastics",26129.27,26129.27,6.306579193173202e-6,0.999328970553055,0.0,0.0%,1,100.0%
2023,880790,Aircraft and spacecraft; parts thereof n.e.c. in chapter 88,26079.07,29913.44,6.294462885465513e-6,0.9993352650159405,0.0,0.0%,0.8718178183451987,87.2%
2021,902230,X-ray tubes,26000,26000,1.558678844110032e-4,0.9886222519031017,0.0,0.0%,1,100.0%
2023,720529,"Iron or steel, pig iron, spiegeleisen; powders (excluding alloy steel)",25969.6,29758.69,6.2680411283985655e-6,0.999341533057069,0.0,0.0%,0.8726728226276089,87.3%
2012,902680,"Instruments and apparatus; for measuring or checking variables of liquids or gases (excluding pressure or the flow and level of liquids and those of heading no. 9014, 9015, 9028 and 9032)",25949.209999999995,26600,2.4143759202255863e-4,0.9909331860206686,0.0,0.0%,0.9755342105263156,97.6%
2023,740329,Copper; copper alloys n.e.c. in heading no. 7403 (other than master alloys of heading no. 7405),25933.52,364460.35,6.259332833934553e-6,0.9993477923899029,0.0,0.0%,0.07115594330082821,7.1%
2017,850152,"Electric motors; AC motors, multi-phase, of an output exceeding 750W but not exceeding 75kW",25870.31,25870.31,2.8554880490348045e-4,0.9826273859928151,0.0,0.0%,1,100.0%
2019,911190,Watch cases and parts thereof,25854.29,179006.93,2.823947688674408e-4,0.981327906657599,0.0,0.0%,0.1444317826131089,14.4%
2016,901850,Ophthalmic instruments and appliances,25781.93,25781.93,2.0667604092156384e-4,0.9902697127909373,0.0,0.0%,1,100.0%
2022,871640,Trailers and semi-trailers; n.e.c. in item no. 8716.3,25763.9,25763.9,1.750576955680525e-5,0.9981268175371196,0.0,0.0%,1,100.0%
2014,820570,"Tools, hand; vices, clamps and the like",25755.940000000002,32130.170000000002,1.566500056813068e-4,0.9940219178746669,0.0,0.0%,0.8016123163991974,80.2%
2021,845819,"Lathes; for removing metal, horizontal, other than numerically controlled",25738.79,46306.3,1.543019517153494e-4,0.9887765538548171,0.0,0.0%,0.5558377585771266,55.6%
2011,852340,NA,25705.28,25705.28,1.7989775176532974e-4,0.991586321318804,0.0,0.0%,1,100.0%
2012,940591,"Lamps and light fittings; parts thereof, of glass",25698.74,25698.74,2.3910715985626577e-4,0.9911722931805249,0.0,0.0%,1,100.0%
2014,850152,"Electric motors; AC motors, multi-phase, of an output exceeding 750W but not exceeding 75kW",25670.41,25670.41,1.5612980432247762e-4,0.9941780476789893,0.0,0.0%,1,100.0%
2022,820810,"Tools; knives and cutting blades, for machines or for mechanical appliances, for metal working",25643.56,25643.56,1.7424002265810255e-5,0.9981442415393854,0.0,0.0%,1,100.0%
2013,845020,"Washing machines; household or laundry-type, of a dry linen capacity exceeding 10kg",25635.55,25635.55,1.685454887981885e-4,0.9937846458233762,0.0,0.0%,1,100.0%
2024,843049,Boring and sinking machinery; not self-propelled,25630,46000,1.617015031852587e-5,0.9990009125939786,0.0,0.0%,0.5571739130434783,55.7%
