"interview__key","date_q","hh_02","settlement","members","memnal","weight","fdpurch","fdcons","fdout","Z1","nfdpurch","nonfdgif","durble","expend","monincome","totincome","nonmoninc","y1_3amd.1.00","y1_3amd.2.00","y1_3amd.4.00","y1_3amd.6.00","y1_3amd.8.00","y1_3amd.9.00","y1_3amd.10.00","y1_3amd.12.00","y1_3amd.13.00","y1_3amd.14.00","y1_3amd.15.00","y1_3amd.17.00","y1_3amd.18.00","y1_3amd.19.00","y1_3amd.23.00","y1_3amd.26.00","y1_3amd.28.00","hhch_0_3_sum","hhch_4_5_sum","hhch_6_11_sum","hhch_12_17_sum","hheld_63_65_sum","hheld_66_70_sum","hheld_71_80_sum","hheld_over81_sum","hheld_over63_sum","headsex","headeduc","headmerstatus","headage","aec_r","poverty","pweight","ae_r","hous_01","hous_13","hous_16","hous_29_0__1","hous_29_0__2","hous_29_0__3","hous_29_0__4","hous_29_0__5","hous_29_0__6","hous_29_0__7","hous_39","hous_44","soc_01","soc_05","hous_47"
"00-26-67-66",2022.04,2,2,4,4,122.72,53305.21,8102.24,0,0,46555.56,20600,0,128563,396583.33,425285.57,28702.24,317000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,3,3,55,72037.07,1,490.87,2.53,1,1,1,0,0,1,0,0,0,0,1,2,2,NA,1
"00-32-13-18",2022.08,3,2,7,7,222.14,122101.19,18834.88,0,0,148650.6,32288.89,23333.33,345208.89,320000,371123.77,51123.77,190000,NA,96000,34000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,2,NA,2,1,5,1,79,61169.77,1,1554.97,5.05,1,1,1,0,0,0,0,0,1,0,2,3,1,6,NA
"00-33-74-56",2022.1,11,1,2,2,138.21,18358.63,0,0,0,22312.8,33922.22,0,74593.65,77000,110922.22,33922.22,NA,40000,32000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,3,2,44,64201.62,1,276.43,1.65,2,1,1,0,0,1,0,0,0,0,1,3,2,NA,1
"00-34-53-58",2022.03,1,1,4,4,310.21,106393.15,0,5431.55,0,41397.32,57469.44,0,210691.47,603000,660469.44,57469.44,500000,60000,43000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,3,83,59947.84,1,1240.85,3.18,2,1,1,0,0,1,0,0,0,0,1,2,2,NA,1
"00-36-06-85",2022.12,6,1,3,3,156.33,223913.46,0,0,0,41224.36,47252.78,0,312390.6,339500,386752.78,47252.78,250000,NA,89500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,2,1,5,1,67,107986.98,1,468.99,2.27,2,1,1,0,0,1,0,0,0,0,1,2,2,NA,1
"00-36-60-62",2022.02,5,1,2,1,192.64,28352.68,2020.54,0,0,0,49100,0,79473.21,55000,106120.54,51120.54,NA,NA,55000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,5,1,75,152701.39,1,192.64,0.81,1,1,1,0,0,1,0,0,0,0,2,2,2,NA,1
"00-36-63-08",2022.03,8,1,4,3,185.77,87600,401.74,0,0,29125,33600,36666.67,187393.4,200000,234001.74,34001.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200000,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,30,72013.27,1,557.31,1.63,2,1,1,0,0,1,0,0,0,0,1,2,2,NA,1
"00-36-95-47",2022.11,4,1,4,4,109.82,35435.42,0,0,0,23321.13,29400,0,88156.55,344000,373400,29400,300000,NA,44000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,3,1,64,46026.91,2,439.3,3.18,2,1,1,0,0,1,0,0,0,0,2,3,2,NA,NA
"00-37-15-80",2022.1,4,2,6,6,192.16,48707.95,13139.94,0,0,173970.6,42919.44,0,278737.93,322500,378559.39,56059.39,NA,250000,72500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,2,1,3,1,67,76706.81,1,1152.94,4.11,1,1,1,0,0,1,0,0,0,0,2,2,2,NA,NA
"00-37-88-78",2022.02,6,2,6,6,146.67,43365.48,45878.42,0,0,58616.67,92319.44,41666.67,281846.68,75833.33,214031.2,138197.87,NA,NA,NA,NA,NA,55000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,60,100412.87,1,880,4.11,1,3,NA,0,0,1,0,0,0,0,2,3,2,NA,1
"00-39-46-15",2022.01,3,2,7,7,222.14,124469.35,26973.07,0,0,61059.52,92041.67,3333.33,307876.93,385833.33,504848.07,119014.73,140000,70000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,6,1,62,76284.7,1,1554.97,4.81,1,1,1,0,0,1,0,0,0,0,1,2,2,NA,NA
"00-42-25-38",2022.07,4,2,5,4,192.16,39020.24,1629.46,0,0,24333.33,13100,0,78083.04,252400,267129.46,14729.46,220000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32400,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,1,52,40906.58,2,768.63,2.92,1,1,1,0,0,1,0,0,0,0,2,3,2,NA,1
"00-42-34-86",2022.12,2,1,1,1,76.87,11330.21,18805.09,0,0,1140.63,22911.11,0,54187.03,77920,119636.2,41716.2,NA,NA,52000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,3,82,135138.23,1,76.87,0.68,1,1,1,0,0,1,0,0,0,0,1,2,2,NA,1
"00-43-19-51",2022.02,1,1,7,7,21.48,79387.5,0,0,0,42366.07,153733.34,0,275486.91,565000,718733.34,153733.34,565000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2,3,3,56,73641.39,1,150.37,4.81,2,1,1,0,1,1,0,0,0,0,1,3,2,NA,1
"00-43-25-74",2022.01,4,2,7,7,192.16,30416.67,8516.67,0,0,43699.25,66151.39,0,148783.97,201000,275668.06,74668.06,NA,NA,201000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,1,5,1,66,70291.74,1,1345.1,4.81,1,1,2,0,0,1,0,0,0,0,2,3,2,NA,1
"00-44-58-92",2022.07,5,2,8,5,156.84,96898.81,23829.17,0,0,4345.24,57655.56,0,182728.78,0,81484.73,81484.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,58,50793.62,2,784.21,3.4,1,1,1,0,0,0,0,0,0,0,2,2,1,NA,1
"00-45-21-49",2022.12,4,2,3,3,192.16,88990.48,11753.87,0,0,35869.94,91466.67,0,228080.95,198833.33,302053.87,103220.54,NA,150000,37000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,5,1,67,85635.3,1,576.47,2.43,1,1,1,0,0,1,0,0,0,0,2,3,2,NA,1
