"date","year","month","org_type_clean","org_type_short","count","count_yoy","data_estimated"
"2018-05-01",2018,5,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",2,17,FALSE
"2018-06-01",2018,6,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",2,17,TRUE
"2018-07-01",2018,7,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",1,16,FALSE
"2018-08-01",2018,8,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",1,17,FALSE
"2018-09-01",2018,9,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",0,17,FALSE
"2018-10-01",2018,10,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",0,17,FALSE
"2018-11-01",2018,11,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",0,16,FALSE
"2018-12-01",2018,12,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",0,14,FALSE
"2019-01-01",2019,1,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",0,12,FALSE
"2019-02-01",2019,2,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",0,9,FALSE
"2019-03-01",2019,3,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",2,10,FALSE
"2019-04-01",2019,4,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",4,12,FALSE
"2019-05-01",2019,5,"Արհեստակցական կազմակերպություն","ԱՐՀԿ",4,14,TRUE
