period,usd_amd
2010-01-01,377.61967741935484
2010-02-01,380.61535714285714
2010-03-01,394.1916129032258
2010-04-01,395.04833333333335
2010-05-01,384.97129032258067
2010-06-01,373.44733333333335
2010-07-01,366.698064516129
2010-08-01,366.4967741935484
2010-09-01,363.456
2010-10-01,360.3077419354839
2010-11-01,361.432
2010-12-01,360.43064516129033
2011-01-01,364.38193548387096
2011-02-01,365.06714285714287
2011-03-01,368.34935483870964
2011-04-01,373.69966666666664
2011-05-01,374.1609677419355
2011-06-01,374.87166666666667
2011-07-01,367.1561290322581
2011-08-01,367.1064516129032
2011-09-01,372.2973333333333
2011-10-01,376.33193548387095
2011-11-01,382.7613333333333
2011-12-01,383.0270967741935
2012-01-01,387.0616129032258
2012-02-01,388.69344827586207
2012-03-01,389.15999999999997
2012-04-01,391.97566666666665
2012-05-01,397.72387096774196
2012-06-01,414.2146666666667
2012-07-01,413.0993548387097
2012-08-01,410.82451612903225
2012-09-01,408.58233333333334
2012-10-01,406.6251612903226
2012-11-01,407.147
2012-12-01,405.65451612903223
2013-01-01,406.0493548387097
2013-02-01,406.90642857142853
2013-03-01,414.268064516129
2013-04-01,416.0713333333333
2013-05-01,415.4861290322581
2013-06-01,412.756
2013-07-01,410.62806451612903
2013-08-01,407.3751612903226
2013-09-01,408.301
2013-10-01,406.2
2013-11-01,405.08666666666664
2013-12-01,405.3661290322581
2014-01-01,407.07870967741934
2014-02-01,411.4892857142857
2014-03-01,414.1158064516129
2014-04-01,414.3616666666667
2014-05-01,413.351935483871
2014-06-01,410.8666666666667
2014-07-01,407.12
2014-08-01,409.54322580645163
2014-09-01,408.794
2014-10-01,409.85387096774195
2014-11-01,419.42466666666667
2014-12-01,462.2748387096774
2015-01-01,475.39032258064515
2015-02-01,478.3571428571429
2015-03-01,477.70354838709676
2015-04-01,473.98266666666666
2015-05-01,479.7706451612903
2015-06-01,475.091
2015-07-01,477.14870967741933
2015-08-01,479.5870967741935
2015-09-01,481.24066666666664
2015-10-01,472.46193548387095
2015-11-01,480.0676666666667
2015-12-01,483.02677419354836
2016-01-01,485.6893548387097
2016-02-01,493.831724137931
2016-03-01,486.5993548387097
2016-04-01,481.246
2016-05-01,478.41258064516126
2016-06-01,477.5396666666667
2016-07-01,476.54
2016-08-01,475.4451612903226
2016-09-01,474.09866666666665
2016-10-01,475.2506451612903
2016-11-01,478.441
2016-12-01,482.82612903225805
2017-01-01,485.49064516129033
2017-02-01,486.5128571428572
2017-03-01,484.95870967741934
2017-04-01,485.03433333333334
2017-05-01,483.50967741935483
2017-06-01,481.56266666666664
2017-07-01,479.15516129032255
2017-08-01,478.6364516129032
2017-09-01,478.2536666666667
2017-10-01,480.72774193548383
2017-11-01,485.4273333333333
2017-12-01,483.21774193548384
2018-01-01,482.7106451612903
2018-02-01,481.38678571428574
2018-03-01,480.45096774193547
2018-04-01,481.42833333333334
2018-05-01,484.13290322580644
2018-06-01,482.641
2018-07-01,481.5158064516129
2018-08-01,482.41225806451615
2018-09-01,483.7026666666667
2018-10-01,485.01129032258063
2018-11-01,486.2993333333333
2018-12-01,484.62774193548387
2019-01-01,485.3151612903226
2019-02-01,488.33
2019-03-01,487.5806451612903
2019-04-01,484.1236666666667
2019-05-01,480.61129032258066
2019-06-01,478.496
2019-07-01,476.5232258064516
2019-08-01,476.0006451612903
2019-09-01,476.2246666666667
2019-10-01,476.3074193548387
2019-11-01,477.09366666666665
2019-12-01,478.3032258064516
2020-01-01,479.30806451612904
2020-02-01,478.7106896551724
2020-03-01,488.908064516129
2020-04-01,488.56733333333335
2020-05-01,483.8074193548387
2020-06-01,481.275
2020-07-01,484.6390322580645
2020-08-01,485.4893548387097
2020-09-01,486.6016666666667
2020-10-01,491.7196774193548
2020-11-01,499.5973333333333
2020-12-01,519.0958064516129
2021-01-01,521.2348387096774
2021-02-01,523.8017857142858
2021-03-01,527.5335483870967
2021-04-01,526.1223333333334
2021-05-01,521.3235483870968
2021-06-01,513.051
2021-07-01,491.25774193548386
2021-08-01,491.6703225806452
2021-09-01,488.138
2021-10-01,479.31612903225806
2021-11-01,477.645
2021-12-01,485.2303225806452
2022-01-01,481.93129032258065
2022-02-01,480.29464285714283
2022-03-01,498.1851612903226
2022-04-01,471.417
2022-05-01,457.73806451612904
2022-06-01,423.03866666666664
2022-07-01,410.7667741935484
2022-08-01,405.6893548387097
2022-09-01,409.8156666666667
2022-10-01,402.66580645161287
2022-11-01,395.4053333333333
2022-12-01,394.54709677419356
2023-01-01,395.70677419354837
2023-02-01,393.4639285714286
2023-03-01,388.37548387096774
2023-04-01,387.76666666666665
2023-05-01,386.52032258064514
2023-06-01,386.6926666666667
2023-07-01,386.41709677419357
2023-08-01,386.15516129032255
2023-09-01,386.9633333333333
2023-10-01,403.9141935483871
2023-11-01,402.47133333333335
2023-12-01,404.43967741935484
2024-01-01,404.9341935483871
2024-02-01,404.28517241379313
2024-03-01,400.5322580645161
2024-04-01,390.94733333333335
2024-05-01,387.8035483870968
2024-06-01,388.01033333333334
2024-07-01,388.0551612903226
2024-08-01,388.0558064516129
2024-09-01,387.347
