"date","year","month","unit_FX","indicator","code","value"
"2016-12-31",2016,12,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",2875.6173311957778
"2017-01-31",2017,1,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",2903.1285838390368
"2017-02-28",2017,2,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",2901.325879830127
"2017-03-31",2017,3,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",2902.0015481851715
"2017-04-30",2017,4,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",2926.823247714142
"2017-05-31",2017,5,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",2935.9672641795764
"2017-06-30",2017,6,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",2951.8666086346293
"2017-07-31",2017,7,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",2968.43708701922
"2017-08-31",2017,8,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",2994.321774686642
"2017-09-30",2017,9,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3017.8041037594226
"2017-10-31",2017,10,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3037.257646853851
"2017-11-30",2017,11,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3114.5359309349296
"2017-12-31",2017,12,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3279.5846443747378
"2018-01-31",2018,1,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3315.445106981195
"2018-02-28",2018,2,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3295.3635202567625
"2018-03-31",2018,3,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3306.2411592635517
"2018-04-30",2018,4,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3319.181583680126
"2018-05-31",2018,5,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3261.125602429805
"2018-06-30",2018,6,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3232.9112874584835
"2018-07-31",2018,7,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3249.7378307319623
"2018-08-31",2018,8,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3264.5261943499845
"2018-09-30",2018,9,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3253.7454801863946
"2018-10-31",2018,10,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3267.6981912609267
"2018-11-30",2018,11,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3281.733956287
"2018-12-31",2018,12,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3348.596690667799
"2019-01-31",2019,1,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3380.9650071863316
"2019-02-28",2019,2,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3397.6791927888594
"2019-03-31",2019,3,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3372.675102166727
"2019-04-30",2019,4,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3320.045079980022
"2019-05-31",2019,5,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3325.2844433482387
"2019-06-30",2019,6,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3303.637400953732
"2019-07-31",2019,7,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3318.8729750952525
"2019-08-31",2019,8,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3319.8312286531536
"2019-09-30",2019,9,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3355.8469146147595
"2019-10-31",2019,10,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3388.7091966168523
"2019-11-30",2019,11,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3423.972551497967
"2019-12-31",2019,12,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3512.0066903039315
"2020-01-31",2020,1,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3513.82168587844
"2020-02-29",2020,2,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3518.004330081528
"2020-03-31",2020,3,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3649.283989803055
"2020-04-30",2020,4,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3549.943568373572
"2020-05-31",2020,5,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3732.3741321556176
"2020-06-30",2020,6,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3723.878736698143
"2020-07-31",2020,7,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3851.940155609544
"2020-08-31",2020,8,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3881.981858536527
"2020-09-30",2020,9,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3830.052715517232
"2020-10-30",2020,10,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3937.146049754752
"2020-11-30",2020,11,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4038.9689030080845
"2020-12-31",2020,12,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4164.251301223294
"2021-01-31",2021,1,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4159.053335411718
"2021-02-28",2021,2,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4605.589875656089
"2021-03-31",2021,3,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4591.621565763266
"2021-04-30",2021,4,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4567.403410295852
"2021-05-31",2021,5,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4591.199414253806
"2021-06-30",2021,6,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4393.4561409100925
"2021-07-31",2021,7,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4363.015588816979
"2021-08-31",2021,8,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4418.046283658942
"2021-09-30",2021,9,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4369.835232086508
"2021-10-31",2021,10,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4400.163200927777
"2021-11-30",2021,11,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4450.1255229179515
"2021-12-31",2021,12,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4429.600047687308
"2022-01-31",2022,1,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4479.497698653554
"2022-02-28",2022,2,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4495.431021488303
"2022-03-31",2022,3,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4563.837057346061
"2022-04-30",2022,4,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4282.332086757545
"2022-05-31",2022,5,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4306.989207883012
"2022-06-30",2022,6,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4055.251769051265
"2022-07-31",2022,7,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4066.6635499960007
"2022-08-31",2022,8,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4044.5086404662065
"2022-09-30",2022,9,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4031.524575163491
"2022-10-31",2022,10,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",3980.2829799647284
"2022-11-30",2022,11,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4055.8295432450154
"2022-12-31",2022,12,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4186.665346055746
"2023-01-31",2023,1,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4225.277998228486
"2023-02-28",2023,2,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4185.30905631421
"2023-03-31",2023,3,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4232.241637091885
"2023-04-30",2023,4,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4242.713043495215
"2023-05-31",2023,5,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4261.974256704031
"2023-06-30",2023,6,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4289.272298561721
"2023-07-31",2023,7,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4384.214747251083
"2023-08-31",2023,8,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4395.171251113626
"2023-09-30",2023,9,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4454.19303564042
"2023-10-31",2023,10,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4471.47691090105
"2023-11-30",2023,11,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4510.904540954024
"2023-12-31",2023,12,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4794.9048290346655
"2024-01-31",2024,1,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4812.8424861218555
"2024-02-29",2024,2,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4828.712550654904
"2024-03-31",2024,3,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4783.483495520802
"2024-04-30",2024,4,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4681.00888880099
"2024-05-31",2024,5,"մլրդ դրամ","ՀՀ պետական պարտք","AMD.",4699.743375019919
"2016-12-31",2016,12,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",2631.3899476757506
"2017-01-31",2017,1,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",2654.5624974834445
"2017-02-28",2017,2,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",2652.518049656067
"2017-03-31",2017,3,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",2651.4041493300156
"2017-04-30",2017,4,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",2673.2847425389355
"2017-05-31",2017,5,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",2670.622280084041
"2017-06-30",2017,6,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",2682.752134954317
"2017-07-31",2017,7,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",2696.8191472163066
"2017-08-31",2017,8,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",2719.788142557204
"2017-09-30",2017,9,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",2725.3317147033117
"2017-10-31",2017,10,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",2744.138578451553
"2017-11-30",2017,11,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",2816.709545229825
"2017-12-31",2017,12,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",2988.3796278717346
"2018-01-31",2018,1,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3021.0661896243305
"2018-02-28",2018,2,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3002.326681806176
"2018-03-31",2018,3,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3012.972198865257
"2018-04-30",2018,4,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3026.2515384898848
"2018-05-31",2018,5,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",2973.131556232922
"2018-06-30",2018,6,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",2958.00224783857
"2018-07-31",2018,7,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",2972.4638840794664
"2018-08-31",2018,8,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",2984.6066652387376
"2018-09-30",2018,9,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",2975.6932685155757
"2018-10-31",2018,10,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",2991.6218256542875
"2018-11-30",2018,11,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3004.8951939983504
"2018-12-31",2018,12,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3082.512572760725
"2019-01-31",2019,1,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3112.9607743098127
"2019-02-28",2019,2,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3128.5140857815823
"2019-03-31",2019,3,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3107.7211040294624
"2019-04-30",2019,4,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3058.471543797765
"2019-05-31",2019,5,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3063.661096806134
"2019-06-30",2019,6,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3053.0461827004465
"2019-07-31",2019,7,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3074.568786842265
"2019-08-31",2019,8,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3075.1280356238635
"2019-09-30",2019,9,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3112.06703357804
"2019-10-31",2019,10,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3143.713292711056
"2019-11-30",2019,11,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3179.2415975481995
"2019-12-31",2019,12,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3277.281376966885
"2020-01-31",2020,1,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3281.404107719394
"2020-02-29",2020,2,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3285.7715734638177
"2020-03-31",2020,3,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3399.1205206127997
"2020-04-30",2020,4,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3312.6686028084146
"2020-05-31",2020,5,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3492.2316200221467
"2020-06-30",2020,6,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3494.714730471331
"2020-07-31",2020,7,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3619.749278776449
"2020-08-31",2020,8,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3645.7043212146687
"2020-09-30",2020,9,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3595.947554037672
"2020-10-30",2020,10,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3701.5526871094007
"2020-11-30",2020,11,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3794.4145235367578
"2020-12-31",2020,12,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3923.8890671175195
"2021-01-31",2021,1,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3900.092701382747
"2021-02-28",2021,2,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",4341.207592611347
"2021-03-31",2021,3,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",4329.199218680524
"2021-04-30",2021,4,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",4309.739765146412
"2021-05-31",2021,5,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",4331.639326970373
"2021-06-30",2021,6,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",4161.577869144423
"2021-07-31",2021,7,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",4136.811315078765
"2021-08-31",2021,8,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",4187.172736139785
"2021-09-30",2021,9,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",4140.865886602385
"2021-10-31",2021,10,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",4173.550496178857
"2021-11-30",2021,11,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",4223.582310500142
"2021-12-31",2021,12,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",4209.837908436683
"2022-01-31",2022,1,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",4252.495987567912
"2022-02-28",2022,2,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",4265.360447821784
"2022-03-31",2022,3,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",4332.83053196197
"2022-04-30",2022,4,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",4061.7405171556547
"2022-05-31",2022,5,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",4079.9281233192714
"2022-06-30",2022,6,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3834.0015297458235
"2022-07-31",2022,7,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3843.6521572284564
"2022-08-31",2022,8,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3825.7019415892746
"2022-09-30",2022,9,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3814.9064001598326
"2022-10-31",2022,10,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3767.2530571221746
"2022-11-30",2022,11,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3832.347547502674
"2022-12-31",2022,12,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3969.6861616986075
"2023-01-31",2023,1,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",4001.572509154342
"2023-02-28",2023,2,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",3969.7336901829253
"2023-03-31",2023,3,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",4014.2675396574723
"2023-04-30",2023,4,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",4023.711911402061
"2023-05-31",2023,5,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",4047.563916998068
"2023-06-30",2023,6,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",4079.218673378138
"2023-07-31",2023,7,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",4172.824001278602
"2023-08-31",2023,8,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",4185.604235045521
"2023-09-30",2023,9,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",4244.9308311405675
"2023-10-31",2023,10,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",4260.737787964299
"2023-11-30",2023,11,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",4296.973523655425
"2023-12-31",2023,12,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",4571.945830608649
"2024-01-31",2024,1,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",4594.617302223571
"2024-02-29",2024,2,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",4610.507427851476
"2024-03-31",2024,3,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",4572.628703156524
"2024-04-30",2024,4,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",4476.651337142072
"2024-05-31",2024,5,"մլրդ դրամ","ՀՀ կառավարության պարտք","AMD.1.",4495.803182293391
"2016-12-31",2016,12,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2080.3309578573553
"2017-01-31",2017,1,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2102.6734235292597
"2017-02-28",2017,2,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2095.0198064000624
"2017-03-31",2017,3,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2084.6265438600867
"2017-04-30",2017,4,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2097.8738204361453
"2017-05-31",2017,5,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2105.670543038507
"2017-06-30",2017,6,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2105.641404679897
"2017-07-31",2017,7,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2113.52973856918
"2017-08-31",2017,8,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2126.302048971009
"2017-09-30",2017,9,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2131.0844845649845
"2017-10-31",2017,10,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2142.5620208474074
"2017-11-30",2017,11,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2194.8263107673156
"2017-12-31",2017,12,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2378.0736055295
"2018-01-31",2018,1,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2395.8643140363106
"2018-02-28",2018,2,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2391.642331038169
"2018-03-31",2018,3,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2393.3597260940005
"2018-04-30",2018,4,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2392.251729100406
"2018-05-31",2018,5,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2371.2524302355487
"2018-06-30",2018,6,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2356.0526249291393
"2018-07-31",2018,7,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2343.854421412127
"2018-08-31",2018,8,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2346.0427603150215
"2018-09-30",2018,9,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2336.5028815138717
"2018-10-31",2018,10,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2343.8134073292185
"2018-11-30",2018,11,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2342.3485196813162
"2018-12-31",2018,12,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2411.966287398837
"2019-01-31",2019,1,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2431.901629525373
"2019-02-28",2019,2,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2437.2604912969864
"2019-03-31",2019,3,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2408.199509516283
"2019-04-30",2019,4,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2370.9286810819935
"2019-05-31",2019,5,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2368.619821394109
"2019-06-30",2019,6,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2359.55510230671
"2019-07-31",2019,7,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2338.3912571997885
"2019-08-31",2019,8,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2336.7034926474403
"2019-09-30",2019,9,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2395.8837405606
"2019-10-31",2019,10,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2407.619944216201
"2019-11-30",2019,11,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2442.2859593021117
"2019-12-31",2019,12,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2540.1078910311917
"2020-01-31",2020,1,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2519.393910757982
"2020-02-29",2020,2,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2512.4268726508317
"2020-03-31",2020,3,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2613.7035212764604
"2020-04-30",2020,4,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2496.0568586294835
"2020-05-31",2020,5,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2660.9468545904224
"2020-06-30",2020,6,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2655.560122671286
"2020-07-31",2020,7,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2702.323289074838
"2020-08-31",2020,8,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2714.838478314251
"2020-09-30",2020,9,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2680.2909351151206
"2020-10-30",2020,10,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2711.3346803094005
"2020-11-30",2020,11,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2807.170471278477
"2020-12-31",2020,12,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2926.242651502656
"2021-01-31",2021,1,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2886.115273292747
"2021-02-28",2021,2,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",3326.867427291347
"2021-03-31",2021,3,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",3301.4572206503535
"2021-04-30",2021,4,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",3253.1841589364126
"2021-05-31",2021,5,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",3257.5591394493736
"2021-06-30",2021,6,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",3076.0403536200142
"2021-07-31",2021,7,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",3020.660335998765
"2021-08-31",2021,8,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",3052.1669220083354
"2021-09-30",2021,9,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2993.7662060130806
"2021-10-31",2021,10,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2977.889537978857
"2021-11-30",2021,11,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",3004.7093358409616
"2021-12-31",2021,12,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2972.3987466366843
"2022-01-31",2022,1,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2984.686012930852
"2022-02-28",2022,2,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2975.468954716643
"2022-03-31",2022,3,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",3000.6614125859087
"2022-04-30",2022,4,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2736.9609495956547
"2022-05-31",2022,5,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2709.875286435771
"2022-06-30",2022,6,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2431.0873315824592
"2022-07-31",2022,7,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2386.771583221856
"2022-08-31",2022,8,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2326.503049032465
"2022-09-30",2022,9,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2278.4652008822336
"2022-10-31",2022,10,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2211.365014672331
"2022-11-30",2022,11,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2231.59916009403
"2022-12-31",2022,12,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2319.7284840920843
"2023-01-31",2023,1,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2339.1812780336368
"2023-02-28",2023,2,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2261.0014643751665
"2023-03-31",2023,3,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2266.504318538573
"2023-04-30",2023,4,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2268.3787214039608
"2023-05-31",2023,5,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2262.840017565145
"2023-06-30",2023,6,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2276.644126471239
"2023-07-31",2023,7,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2362.1624600047603
"2023-08-31",2023,8,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2349.8547205035193
"2023-09-30",2023,9,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2353.984015391469
"2023-10-31",2023,10,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2341.478455144423
"2023-11-30",2023,11,"մլրդ դրամ","արտաքին պարտք","AMD.1.1.",2351.891207465832
