"code","arm","eng","rus","date","production_month","vol_YoY_pct"
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2021-Q1",1282290.1000000003,98.5
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2021-Q2",1577120.0999999996,109.1
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2021-Q3",1909558.8999999997,102.4
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2021-Q4",2222808.6999999993,111.6
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2022-Q1",1487927.0000000002,108.8
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2022-Q2",1900956.0000000005,113.1
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2022-Q3",2379443.0000000005,114.8
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2022-Q4",2733109.4999999995,112.7
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2023-Q1",1788263.2999999998,112.1
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2023-Q2",2138375.5,109.1
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2023-Q3",2574593.3000000003,107.2
NA,"Ներքին արդյունք (համախառն, շուկայական գներով)","Domestic product (gross, market prices)","Внутренный продукт (валовой, в рыночных ценах)","2023-Q4",3001546.5000000005,107.8
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2013-Q1",117671.9,NA
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2013-Q2",122310.7,NA
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2013-Q3",134871.3,NA
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2013-Q4",131574.2,NA
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2014-Q1",116362.1,100.9
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2014-Q2",136416,105.4
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2014-Q3",148027.5,104.4
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2014-Q4",145529.3,97.3
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2015-Q1",122721.2,100.8
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2015-Q2",121663.9,86
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2015-Q3",152504.3,99.8
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2015-Q4",138911.7,93.6
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2016-Q1",111181.2,92.2
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2016-Q2",116769.2,98.2
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2016-Q3",132428.2,88.1
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2016-Q4",148425,106.5
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2017-Q1",127779,110.5
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2017-Q2",129017.40000000001,106.3
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2017-Q3",145287.69999999998,109.4
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2017-Q4",169990.90000000002,111.8
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2018-Q1",149149.8,113
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2018-Q2",136613.80000000002,104.7
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2018-Q3",160720.8,107.5
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2018-Q4",192740.40000000002,107.6
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2019-Q1",195815.9,107.1
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2019-Q2",170294.6,106.8
NA,"Արտադրանքի հարկեր (հանած սուբսիդիաներ)","Taxes on products (less subsidies)","Налоги на продукты (за вычетом субсидий)","2019-Q3",184924.7,108.9
