period,partner_region,X_region
2023-03-01,EAEU,3100897071.95
2023-04-01,EAEU,3283277268.3999996
2010-12-01,EU,589059929.8199999
2011-01-01,EU,594031508.07
2011-02-01,EU,607563946.11
2011-03-01,EU,618224681.93
2011-04-01,EU,621146790.42
2011-05-01,EU,637759561.2799999
2011-06-01,EU,646899760.67
2011-07-01,EU,656434959.7499999
2011-08-01,EU,674157272.6899999
2011-09-01,EU,657050959.53
2011-10-01,EU,659955949.16
2011-11-01,EU,655676696.1600001
2011-12-01,EU,605849734.5699999
2012-01-01,EU,603068885.83
2012-02-01,EU,592280717.51
2012-03-01,EU,646006408.87
2012-04-01,EU,624102397.41
2012-05-01,EU,617281928.6899999
2012-06-01,EU,610706403.49
2012-07-01,EU,599190988.99
2012-08-01,EU,581575603.15
2012-09-01,EU,558457165.99
2012-10-01,EU,564177757.25
2012-11-01,EU,561415192.49
2012-12-01,EU,558512723.24
2013-01-01,EU,570132763.2600001
2013-02-01,EU,573518422.4100001
2013-03-01,EU,510785640.59000003
2013-04-01,EU,517043656.60999995
2013-05-01,EU,507586293.88000005
2013-06-01,EU,501303095.34999996
2013-07-01,EU,503301870.26
2013-08-01,EU,500529652.94000006
2013-09-01,EU,501488865.94000006
2013-10-01,EU,494202599.14000005
2013-11-01,EU,491948306.41
2013-12-01,EU,484891478.7300001
2014-01-01,EU,477313563.0400001
2014-02-01,EU,472935478.42
2014-03-01,EU,474520177.34
2014-04-01,EU,473042439.65000004
2014-05-01,EU,471627868.87
2014-06-01,EU,467650694.44
2014-07-01,EU,471041883.47
2014-08-01,EU,467045862.54
2014-09-01,EU,459198601.16
2014-10-01,EU,450302239.03
2014-11-01,EU,438007847.21
2014-12-01,EU,434963504.74
2015-01-01,EU,425419538.53
2015-02-01,EU,416374289.2
2015-03-01,EU,418136602.51
2015-04-01,EU,422222642.13
2015-05-01,EU,421140912.00999993
2015-06-01,EU,425332545.33
2015-07-01,EU,425621813.06999993
2015-08-01,EU,422834245.13
2015-09-01,EU,425734626.61999995
2015-10-01,EU,430954344.11
