month,year,date,FX,indicator,value
7,2011,2011-07-01,Դրամ,(61)        հեռահաղորդակցություն,96694.4
7,2011,2011-07-01,Դրամ,(62)        համակարգչային ծրագրավորում և հարակից գործունեություն,142591.03399999999
7,2011,2011-07-01,Դրամ,"K. Ֆինանսական և ապահովագրական գործունեություն,այդ թվում`",44643759.145
7,2011,2011-07-01,Դրամ,առևտրային բանկեր,24393853.323
7,2011,2011-07-01,Դրամ,վարկային կազմակերպություններ,600973
7,2011,2011-07-01,Դրամ,ապահովագրական ընկերություններ,0
7,2011,2011-07-01,Դրամ,ներդրումային ընկերություններ,5191274
7,2011,2011-07-01,Դրամ,այլ ֆինանսական կազմակերպություններ,7075711.109999999
7,2011,2011-07-01,Դրամ,"L. Անշարժ գույքի հետ կապված գործունեություն,այդ թվում`",2784892.1689999998
7,2011,2011-07-01,Դրամ,(68.1)    սեփականություն հանդիսացող անշարժ գույքի առք և վաճառք,1680953
7,2011,2011-07-01,Դրամ,"M. Մասնագիտական, գիտական և տեխնիկական գործունեություն,այդ թվում`",919968.515
7,2011,2011-07-01,Դրամ,(69)       իրավաբանական և հաշվապահական գործունեություն,68665.529
7,2011,2011-07-01,Դրամ,(71)       ճարտարապետական և ճարտարագիտական գործունեություն,57300
7,2011,2011-07-01,Դրամ,(72)      գիտական հետազոտություններ և մշակումներ,237586
7,2011,2011-07-01,Դրամ,(73.1)    գովազդային գործունեություն,518515.986
7,2011,2011-07-01,Դրամ,"P. Կրթություն,այդ թվում`",520802.296
7,2011,2011-07-01,Դրամ,(85.4)  բարձրագույն կրթություն,298765
7,2011,2011-07-01,Դրամ,Q. Առողջապահություն,2236768.097
7,2011,2011-07-01,Դրամ,"R. Մշակույթ, զվարճություն, հանգիստ",1522242.946
7,2011,2011-07-01,Դրամ,"Տնտեսության այլ ճյուղեր, այդ թվում",13370392.981000002
7,2011,2011-07-01,Դրամ,(32.1)  ոսկերչական արտադրատեսակների և զարդերի  արտադրություն,1944350.36
7,2011,2011-07-01,Դրամ,(79)     զբոսաշրջություն,438558.5179999999
7,2011,2011-07-01,Դրամ,"Հիփոթեքային վարկեր,այդ թվում`",58964063.05199999
7,2011,2011-07-01,Դրամ,անշարժ գույքի ձեռքբերման հիպոթեկային վարկեր,44438430.748
7,2011,2011-07-01,Դրամ,անշարժ գույքի վերանորոգման հիպոթեկային վարկեր,12694336.304000001
7,2011,2011-07-01,Դրամ,"Սպառողական վարկեր,այդ թվում`",164735419.818
7,2011,2011-07-01,Դրամ,քարտային վարկեր,21741945
7,2011,2011-07-01,Դրամ,ավտովարկեր,19788718.627
7,2011,2011-07-01,Դրամ,կենցաղային և համակարգչային տեխնիկացի ձեռքբերման վարկեր,11939807
7,2011,2011-07-01,Դրամ,ոսկու գրավով վարկեր,66213109
7,2011,2011-07-01,Դրամ,այլ սպառողական վարկեր,44318782.19100001
7,2011,2011-07-01,Արտարժույթ,"Ռեզիդենտներին տրված վարկեր, ավանդներ, ֆակտորինգ, լիզինգ, ռեպո համաձայնագրեր ըստ ճյուղերի, այդ թվում`",648516734.3
7,2011,2011-07-01,Արտարժույթ,"A. Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն,այդ թվում`",57954280.179000005
7,2011,2011-07-01,Արտարժույթ,(01.1/3) բուսաբուծություն,18385860.970999997
7,2011,2011-07-01,Արտարժույթ,(01.4)    անասնապահություն,33821459.690000005
7,2011,2011-07-01,Արտարժույթ,(02)        անտառային տնտեսություն և փայտամթերումներ,0
7,2011,2011-07-01,Արտարժույթ,(03)        ձկնորսություն և ձկնաբուծություն,4666008.463
7,2011,2011-07-01,Արտարժույթ,"B. Հանքագործական արդյունաբերություն և բացահանքերի շահագործում,այդ թվում`",11910769.915
7,2011,2011-07-01,Արտարժույթ,(07)           մետաղական հանքաքարի արդյունահանում,7635427
7,2011,2011-07-01,Արտարժույթ,(08.1-12)  շինանյութի արդյունահանում,825050.915
7,2011,2011-07-01,Արտարժույթ,"C. Մշակող արդյունաբերություն,այդ թվում`",96148463.932
7,2011,2011-07-01,Արտարժույթ,(10)          սննդի արդյունաբերություն,37135781.989
7,2011,2011-07-01,Արտարժույթ,(10.1)     մսի մշակում և պահածոյացում,2128988.429
7,2011,2011-07-01,Արտարժույթ,(10.3 )     մրգերի և բանջարեղենի մշակում և պահածոյացում,7603028.911
7,2011,2011-07-01,Արտարժույթ,(10.5)     կաթնամթերքի արտադրություն,8570840.216999998
7,2011,2011-07-01,Արտարժույթ,(10.7)    հացի և ալյուրե հրուշակեղենի արտադրություն,5223253.325999999
7,2011,2011-07-01,Արտարժույթ,(11)          խմիչքների արդյունաբերություն,9227637.089999998
7,2011,2011-07-01,Արտարժույթ,(12)          ծխախոտի արդյունաբերություն,2103210
7,2011,2011-07-01,Արտարժույթ,(13+14)    մանածագործական արտադրատեսակների և հագուստի արտադրություն,976080.696
7,2011,2011-07-01,Արտարժույթ,(15)           կաշվե արտադրատեսակների արտադրություն,255174
7,2011,2011-07-01,Արտարժույթ,"(16+17)   փայտանյութի, թղթի, փայտե և թղթե արտադրատեսակների արտադրություն (բացի կահույքից)",973698.371
7,2011,2011-07-01,Արտարժույթ,(18)         պոլիգրաֆիական գործունեություն,1226761.486
7,2011,2011-07-01,Արտարժույթ,(20)         քիմիական նյութերի արտադրություն,6429797.255000001
7,2011,2011-07-01,Արտարժույթ,(21)         դեղագործական արտադրատեսակների արտադրություն,591132
7,2011,2011-07-01,Արտարժույթ,(22)         ռետինե և պլաստմասսայե արտադրատեսակների արտադրություն,3518773.4389999993
7,2011,2011-07-01,Արտարժույթ,(23)         ոչ մետաղական արտադրատեսակների արտադրություն,5328326.177
7,2011,2011-07-01,Արտարժույթ,(24)         հիմնային մետաղների արտադրություն,4645548
7,2011,2011-07-01,Արտարժույթ,"(25)    մետաղե պատրաստի արտադրատեսակների արտադրություն,բացի մեքենաներից և սարքավորումներից",9134306.937999997
7,2011,2011-07-01,Արտարժույթ,"(26+27)   համակարգիչների, էլեկտրոնային, օպտիկական և էլեկտրական սարքավորումների արտադրություն",2342142.92
7,2011,2011-07-01,Արտարժույթ,(31)        կահույքի արտադրություն,760258.6879999998
7,2011,2011-07-01,Արտարժույթ,(33)       մեքենաների և սարքավորումների նորոգում և տեղակայում,304821
7,2011,2011-07-01,Արտարժույթ,"D. Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում,այդ թվում",52869929
7,2011,2011-07-01,Արտարժույթ,"(35.1)      էլեկտրաէներգիայի արտադրություն, փոխանցում և բաշխում",31022712
7,2011,2011-07-01,Արտարժույթ,"E. Ջրամատակարարում, կոյուղի, թափոնների կառավարում և վերամշակում",1200527
7,2011,2011-07-01,Արտարժույթ,"F. Շինարարություն,այդ թվում`",68304419.257
7,2011,2011-07-01,Արտարժույթ,(41.2)      բնակելի և ոչ բնակելի շենքերի շինարարություն,43864282
7,2011,2011-07-01,Արտարժույթ,(42.1)      ճանապարհների և երկաթուղիների շինարարություն,6322584.175000001
7,2011,2011-07-01,Արտարժույթ,"G. Առևտուր,այդ թվում`",161599281.85500002
7,2011,2011-07-01,Արտարժույթ,"(45)        ավտոմեքենաների, մոտոցիկլերի և դրանց պահեստամասերի առևտուր և նորոգում",4796274.191000001
7,2011,2011-07-01,Արտարժույթ,(46)        մեծածախ  առևտուր,90252798.60099998
7,2011,2011-07-01,Արտարժույթ,(47)        մանրածախ  առևտուր,61817007.063
7,2011,2011-07-01,Արտարժույթ,"H. Փոխադրումներ և պահեստային տնտեսություն,այդ թվում`",24277419.268999998
7,2011,2011-07-01,Արտարժույթ,(49.32)   տաքսու ծառայություններ,2812950.4539999994
7,2011,2011-07-01,Արտարժույթ,(49.4)     ավտոճանապարհային բեռնափոխադրումներ և փոխադրման ծառայություններ,9135754.815
7,2011,2011-07-01,Արտարժույթ,(51)        օդային տրանսպորտի գործունեություն,11752651
7,2011,2011-07-01,Արտարժույթ,(52.1)     պահեստավորում և պահպանում,319090
7,2011,2011-07-01,Արտարժույթ,"I. Կացության և հանրային սննդի կազմակերպում,այդ թվում`",17994252.339000005
7,2011,2011-07-01,Արտարժույթ,(55)      հյուրանոցների և համանման բնակատեղերի տրամադրման ծառայություններ,4986908.2639999995
7,2011,2011-07-01,Արտարժույթ,(56)        հանրային սննդի կազմակերպում,12931265.075
7,2011,2011-07-01,Արտարժույթ,"J. Տեղեկատվություն և կապ,այդ թվում`",7099854.125999999
7,2011,2011-07-01,Արտարժույթ,(58)        հրատարակչական գործ,306582.478
7,2011,2011-07-01,Արտարժույթ,(60)        հեռուստառադիոծրագրերի կազմում և հերարձակում,1787291.422
7,2011,2011-07-01,Արտարժույթ,(61)        հեռահաղորդակցություն,974885.226
7,2011,2011-07-01,Արտարժույթ,(62)        համակարգչային ծրագրավորում և հարակից գործունեություն,444729
7,2011,2011-07-01,Արտարժույթ,"K. Ֆինանսական և ապահովագրական գործունեություն,այդ թվում`",27648358
7,2011,2011-07-01,Արտարժույթ,առևտրային բանկեր,24275864
7,2011,2011-07-01,Արտարժույթ,վարկային կազմակերպություններ,730329
7,2011,2011-07-01,Արտարժույթ,ապահովագրական ընկերություններ,0
7,2011,2011-07-01,Արտարժույթ,ներդրումային ընկերություններ,181740
7,2011,2011-07-01,Արտարժույթ,այլ ֆինանսական կազմակերպություններ,668713
7,2011,2011-07-01,Արտարժույթ,"L. Անշարժ գույքի հետ կապված գործունեություն,այդ թվում`",6828380.124999999
7,2011,2011-07-01,Արտարժույթ,(68.1)    սեփականություն հանդիսացող անշարժ գույքի առք և վաճառք,1890686
7,2011,2011-07-01,Արտարժույթ,"M. Մասնագիտական, գիտական և տեխնիկական գործունեություն,այդ թվում`",1060396.5
7,2011,2011-07-01,Արտարժույթ,(69)       իրավաբանական և հաշվապահական գործունեություն,9498
7,2011,2011-07-01,Արտարժույթ,(71)       ճարտարապետական և ճարտարագիտական գործունեություն,616243
7,2011,2011-07-01,Արտարժույթ,(72)      գիտական հետազոտություններ և մշակումներ,0
7,2011,2011-07-01,Արտարժույթ,(73.1)    գովազդային գործունեություն,302769.4
7,2011,2011-07-01,Արտարժույթ,"P. Կրթություն,այդ թվում`",2058259.1730000002
7,2011,2011-07-01,Արտարժույթ,(85.4)  բարձրագույն կրթություն,1520741
7,2011,2011-07-01,Արտարժույթ,Q. Առողջապահություն,3758090
7,2011,2011-07-01,Արտարժույթ,"R. Մշակույթ, զվարճություն, հանգիստ",2321435.0529999994
7,2011,2011-07-01,Արտարժույթ,"Տնտեսության այլ ճյուղեր, այդ թվում",41838814.085999995
7,2011,2011-07-01,Արտարժույթ,(32.1)  ոսկերչական արտադրատեսակների և զարդերի  արտադրություն,4946691.045000001
7,2011,2011-07-01,Արտարժույթ,(79)     զբոսաշրջություն,256564.2
7,2011,2011-07-01,Արտարժույթ,"Հիփոթեքային վարկեր,այդ թվում`",41613302.977
7,2011,2011-07-01,Արտարժույթ,անշարժ գույքի ձեռքբերման հիպոթեկային վարկեր,32765479.377
