"query","search interest","increase percent"
"հայոց եղեռն",100,"1%"
"հայոց մեծ եղեռն",80,"0%"
"եղեռն 1915",33,"-1%"
"1915",33,"3%"
"1915 եղեռն",33,"-6%"
"ցեղասպանություն",26,"0%"
"եղեռն շարադրություն",25,"3%"
"շարադրություն",25,"2%"
"եղեռն ցեղասպանություն",25,"-2%"
"եղեռնի մասին",24,"-1%"
"ապրիլի 24",18,"8%"
"ապրիլի 24 եղեռն",17,"0%"
"exern",14,"2%"
"եղեռն նկարներ",9,"-3%"
"եղեռն 105",1,"-6%"
