"query","search interest","increase percent"
"the armenian genocide",100,"0%"
"armenia genocide",29,"0%"
"armenia",27,"0%"
"turkey",16,"0%"
"armenian genocide turkey",16,"0%"
"what is armenian genocide",12,"0%"
"what is genocide",12,"0%"
"armenians",12,"0%"
"armenian holocaust",11,"0%"
"armenian people",11,"0%"
"armenian genocide day",10,"0%"
"1915",10,"0%"
"holocaust",10,"0%"
"armenian genocide movie",9,"0%"
"turkish armenian genocide",9,"0%"
"ottoman empire",8,"0%"
"armenian history",8,"0%"
"armenian genocide memorial",7,"0%"
"armenian genocide map",6,"0%"
"genocide definition",6,"0%"
"armenian news",6,"0%"
"armenian genocide news",6,"0%"
"armenian genocide definition",6,"0%"
"the holocaust",6,"0%"
"ww1",5,"0%"
"armenian genocide facts",5,"0%"
"when was the armenian genocide",5,"0%"
"armenian genocide recognition",5,"0%"
"what is a genocide",4,"7%"
"armenian genocide denial",4,"0%"
"genocides",4,"0%"
"young turks",4,"0%"
"genocide meaning",4,"0%"
"armenian genocide museum",4,"0%"
"israel armenian genocide",3,"0%"
"rwandan genocide",3,"0%"
"rwanda genocide",3,"0%"
"armenian women",3,"0%"
"rwanda",3,"0%"
"how many died in armenian genocide",3,"0%"
"armenian genocide film",3,"0%"
"armenian genocide timeline",3,"0%"
"cambodian genocide",3,"0%"
"armenian genocide cause",3,"0%"
"the young turks",3,"0%"
"armenian genocide book",3,"0%"
"april 24",3,"0%"
"armenian genocide remembrance day",3,"0%"
"the promise",3,"0%"
"how many died in the armenian genocide",3,"0%"
