"Time","Armenian Genocide"
"2004-01-01",10
"2004-02-01",12
"2004-03-01",13
"2004-04-01",24
"2004-05-01",12
"2004-06-01",7
"2004-07-01",5
"2004-08-01",6
"2004-09-01",6
"2004-10-01",8
"2004-11-01",9
"2004-12-01",10
"2005-01-01",9
"2005-02-01",11
"2005-03-01",16
"2005-04-01",31
"2005-05-01",19
"2005-06-01",10
"2005-07-01",5
"2005-08-01",5
"2005-09-01",8
"2005-10-01",10
"2005-11-01",9
"2005-12-01",9
"2006-01-01",8
"2006-02-01",11
"2006-03-01",13
"2006-04-01",27
"2006-05-01",15
"2006-06-01",6
"2006-07-01",4
"2006-08-01",4
"2006-09-01",6
"2006-10-01",17
"2006-11-01",10
"2006-12-01",9
"2007-01-01",10
"2007-02-01",12
"2007-03-01",13
"2007-04-01",20
"2007-05-01",11
"2007-06-01",6
"2007-07-01",5
"2007-08-01",6
"2007-09-01",6
"2007-10-01",35
"2007-11-01",10
"2007-12-01",8
"2008-01-01",7
"2008-02-01",8
"2008-03-01",8
"2008-04-01",16
"2008-05-01",8
"2008-06-01",5
"2008-07-01",3
"2008-08-01",3
"2008-09-01",4
"2008-10-01",5
"2008-11-01",7
"2008-12-01",7
"2009-01-01",6
"2009-02-01",7
"2009-03-01",9
"2009-04-01",22
"2009-05-01",9
"2009-06-01",5
"2009-07-01",3
"2009-08-01",4
"2009-09-01",5
"2009-10-01",7
"2009-11-01",6
"2009-12-01",5
"2010-01-01",5
"2010-02-01",6
"2010-03-01",20
"2010-04-01",21
"2010-05-01",8
"2010-06-01",6
"2010-07-01",3
"2010-08-01",3
"2010-09-01",4
"2010-10-01",5
"2010-11-01",5
"2010-12-01",7
"2011-01-01",5
"2011-02-01",6
"2011-03-01",7
"2011-04-01",17
"2011-05-01",7
"2011-06-01",4
"2011-07-01",3
"2011-08-01",3
"2011-09-01",4
"2011-10-01",5
"2011-11-01",5
"2011-12-01",9
"2012-01-01",10
"2012-02-01",8
"2012-03-01",12
"2012-04-01",22
"2012-05-01",9
"2012-06-01",6
"2012-07-01",6
"2012-08-01",4
"2012-09-01",5
"2012-10-01",4
"2012-11-01",5
"2012-12-01",4
"2013-01-01",5
"2013-02-01",6
"2013-03-01",6
"2013-04-01",19
"2013-05-01",8
"2013-06-01",6
"2013-07-01",4
"2013-08-01",4
"2013-09-01",3
"2013-10-01",4
"2013-11-01",4
"2013-12-01",5
"2014-01-01",5
"2014-02-01",6
"2014-03-01",8
"2014-04-01",22
"2014-05-01",8
"2014-06-01",5
"2014-07-01",5
"2014-08-01",5
"2014-09-01",4
"2014-10-01",5
"2014-11-01",5
"2014-12-01",5
"2015-01-01",9
"2015-02-01",9
"2015-03-01",12
"2015-04-01",100
"2015-05-01",15
"2015-06-01",8
"2015-07-01",6
"2015-08-01",5
"2015-09-01",10
"2015-10-01",7
"2015-11-01",8
"2015-12-01",7
"2016-01-01",6
"2016-02-01",7
"2016-03-01",8
"2016-04-01",24
"2016-05-01",9
"2016-06-01",12
"2016-07-01",6
"2016-08-01",4
"2016-09-01",7
"2016-10-01",6
"2016-11-01",6
"2016-12-01",7
"2017-01-01",7
"2017-02-01",7
"2017-03-01",9
"2017-04-01",34
"2017-05-01",11
"2017-06-01",5
"2017-07-01",6
"2017-08-01",5
"2017-09-01",6
"2017-10-01",6
"2017-11-01",5
"2017-12-01",5
"2018-01-01",6
"2018-02-01",8
"2018-03-01",7
"2018-04-01",17
"2018-05-01",8
"2018-06-01",5
"2018-07-01",4
"2018-08-01",4
"2018-09-01",4
"2018-10-01",5
"2018-11-01",4
"2018-12-01",5
"2019-01-01",5
"2019-02-01",6
"2019-03-01",7
"2019-04-01",18
"2019-05-01",9
"2019-06-01",4
"2019-07-01",4
"2019-08-01",4
"2019-09-01",4
"2019-10-01",13
"2019-11-01",7
"2019-12-01",8
"2020-01-01",4
"2020-02-01",5
"2020-03-01",5
"2020-04-01",15
"2020-05-01",5
"2020-06-01",4
"2020-07-01",4
"2020-08-01",4
"2020-09-01",4
"2020-10-01",7
"2020-11-01",4
"2020-12-01",3
"2021-01-01",3
"2021-02-01",3
"2021-03-01",4
"2021-04-01",21
"2021-05-01",5
"2021-06-01",3
"2021-07-01",2
"2021-08-01",2
"2021-09-01",2
"2021-10-01",2
"2021-11-01",2
"2021-12-01",2
"2022-01-01",3
"2022-02-01",4
"2022-03-01",5
"2022-04-01",12
"2022-05-01",5
"2022-06-01",3
"2022-07-01",2
"2022-08-01",2
"2022-09-01",3
"2022-10-01",3
"2022-11-01",3
"2022-12-01",3
"2023-01-01",4
"2023-02-01",5
"2023-03-01",5
"2023-04-01",8
"2023-05-01",4
"2023-06-01",2
"2023-07-01",2
"2023-08-01",2
"2023-09-01",4
"2023-10-01",5
"2023-11-01",5
"2023-12-01",4
"2024-01-01",4
"2024-02-01",5
"2024-03-01",6
"2024-04-01",9
"2024-05-01",6
"2024-06-01",3
"2024-07-01",2
"2024-08-01",2
"2024-09-01",3
"2024-10-01",4
"2024-11-01",4
"2024-12-01",4
"2025-01-01",4
"2025-02-01",5
"2025-03-01",6
"2025-04-01",10
"2025-05-01",6
"2025-06-01",4
"2025-07-01",3
"2025-08-01",5
"2025-09-01",6
"2025-10-01",6
"2025-11-01",5
"2025-12-01",4
"2026-01-01",5
"2026-02-01",9
"2026-03-01",7
"2026-04-01",8
