country,year,month,export,import_origin,import_consignment,date
Albania,2018,1,2,9.47808,0,2018-01-01
Albania,2018,2,0,292.20752,0,2018-02-01
Albania,2018,3,0,142.8927,0,2018-03-01
Albania,2018,4,0,158.35705,0,2018-04-01
Albania,2018,5,0,24.56601,0,2018-05-01
Albania,2018,6,0,48.76172,0,2018-06-01
Albania,2018,7,0,269.33348,0,2018-07-01
Albania,2018,8,0,286.8232,0,2018-08-01
Albania,2018,9,0,96.14964,0,2018-09-01
Albania,2018,10,2.2,90.89854,0,2018-10-01
Albania,2018,11,0,15.60113,0,2018-11-01
Albania,2018,12,0,209.76989,0,2018-12-01
Albania,2017,1,0,9.28033,0,2017-01-01
Albania,2017,2,0,12.75249,0,2017-02-01
Albania,2017,3,0,9.76862,0,2017-03-01
Albania,2017,4,0,8.71808,0,2017-04-01
Albania,2017,5,1.85,6.39811,0,2017-05-01
Albania,2017,6,0,11.24394,0,2017-06-01
Albania,2017,7,0,66.86325,0,2017-07-01
Albania,2017,8,27.93979,42.09476,0,2017-08-01
Albania,2017,9,0,125.54117,86.50012,2017-09-01
Albania,2017,10,0,20.66058,0.7602,2017-10-01
Albania,2017,11,0,43.17429,0,2017-11-01
Albania,2017,12,0,14.27175,0,2017-12-01
Algeria,2024,2,0,23.89236,0,2024-02-01
Algeria,2023,3,0,38.2034,0,2023-03-01
Algeria,2023,5,0,2.60373,0,2023-05-01
Algeria,2023,7,0,0.08055,0,2023-07-01
Algeria,2023,8,0,0.15359,0,2023-08-01
Algeria,2023,11,0,43.16264,0,2023-11-01
Algeria,2022,4,0,25.43123,0,2022-04-01
Algeria,2022,5,0,72.024,0,2022-05-01
Algeria,2022,7,0,27.43586,0,2022-07-01
Algeria,2022,8,0,56.0921,0,2022-08-01
Algeria,2022,11,0,1.65172,0,2022-11-01
Algeria,2021,7,9.11,0,0,2021-07-01
Algeria,2020,5,0,0.48114,0,2020-05-01
Algeria,2020,8,0,0.24548,0,2020-08-01
Algeria,2019,10,0,1.34408,0,2019-10-01
Algeria,2019,12,0,9e-4,0,2019-12-01
Algeria,2018,2,0,0.42127,0,2018-02-01
Algeria,2017,3,0,0.69961,0,2017-03-01
Algeria,2017,6,0,0.26405,0,2017-06-01
Algeria,2017,7,2.45181,0,0,2017-07-01
Algeria,2017,8,0,0.35673,0,2017-08-01
Algeria,2017,10,1.5,0,0,2017-10-01
American Saoma,2021,1,0,4.29012,0,2021-01-01
American Saoma,2021,8,0,0.03361,0,2021-08-01
American Saoma,2021,12,0,1.12798,0,2021-12-01
American Saoma,2020,1,0,0.37252,0,2020-01-01
American Saoma,2020,5,0,0.00494,0,2020-05-01
American Saoma,2020,6,0,0.00147,0,2020-06-01
American Saoma,2018,6,0,3.69043,0,2018-06-01
American Saoma,2017,10,0,0.77272,0,2017-10-01
Andorra,2024,3,0,0.62276,0,2024-03-01
Andorra,2023,1,0,27.195,0,2023-01-01
Andorra,2023,3,0,1.32489,0,2023-03-01
Andorra,2023,4,0,5.46876,0,2023-04-01
Andorra,2023,7,0,0.75345,0,2023-07-01
Andorra,2023,8,0,0.0991,0,2023-08-01
Andorra,2023,11,0,3.9054,0,2023-11-01
Andorra,2023,12,0,0.08754,70.8,2023-12-01
Andorra,2022,1,0,1.02995,0,2022-01-01
Andorra,2022,2,0,0.73603,0,2022-02-01
Andorra,2022,5,0,2.20972,0,2022-05-01
Andorra,2022,6,0,0.55279,0,2022-06-01
Andorra,2022,11,0,0.05138,0,2022-11-01
Andorra,2021,1,0,0.26037,0,2021-01-01
Andorra,2021,3,0,0.00577,0,2021-03-01
Andorra,2020,1,0,2.22248,0,2020-01-01
Andorra,2020,2,0,0.02141,0,2020-02-01
Andorra,2020,7,0,0.06137,0,2020-07-01
Andorra,2020,8,0,0.12925,0,2020-08-01
Andorra,2020,10,0,0.01498,0,2020-10-01
Andorra,2019,2,0,8.13158,0,2019-02-01
Andorra,2019,3,0,12.70533,0,2019-03-01
Andorra,2019,5,0,0.07097,0,2019-05-01
Andorra,2019,7,0,6.75311,0,2019-07-01
Andorra,2019,9,0,0.0281,0,2019-09-01
Andorra,2019,11,0,0.3945,0,2019-11-01
Andorra,2019,12,0,0.00256,2.00485,2019-12-01
Andorra,2018,2,0,0.08825,0,2018-02-01
Andorra,2018,4,0,5.29007,0,2018-04-01
Andorra,2018,7,0,0.4331,0,2018-07-01
Andorra,2017,4,0,1.47284,0,2017-04-01
Andorra,2017,11,0,1.7,0,2017-11-01
Angola,2024,1,0,1584.95165,0,2024-01-01
Angola,2024,2,0,4098.9988,0,2024-02-01
Angola,2024,3,0,3991.38798,0,2024-03-01
Angola,2023,1,0,0.27753,0,2023-01-01
Angola,2023,5,0,2684.16219,0,2023-05-01
Angola,2023,10,0,709.686,0,2023-10-01
Angola,2022,8,0,2645.08169,0,2022-08-01
Angola,2022,10,0,3386.45342,0,2022-10-01
Angola,2020,9,0,0,0.22,2020-09-01
Angola,2020,12,0.001,0,0,2020-12-01
Angola,2019,6,0,0.723,0,2019-06-01
Angola,2019,7,0,82.08476,0,2019-07-01
Angola,2019,10,0.00496,236.89063,0,2019-10-01
Angola,2018,1,0,5.66445,0,2018-01-01
Angola,2018,2,0,141.12613,0,2018-02-01
Angola,2017,10,0,830.90069,0,2017-10-01
Angola,2017,11,0,550.68204,0,2017-11-01
Antigua and Barbuda,2022,9,0,0.00619,0,2022-09-01
Antigua and Barbuda,2021,6,0,0.20283,0,2021-06-01
Antigua and Barbuda,2021,10,0,0.95881,0,2021-10-01
Antigua and Barbuda,2019,10,0,0,3.74,2019-10-01
Antigua and Barbuda,2019,11,0,3.716,0,2019-11-01
Argentina,2024,1,0,2158.97607,2075.39492,2024-01-01
Argentina,2024,2,0,55.67854,48.20128,2024-02-01
Argentina,2024,3,0,347.12666,10.70125,2024-03-01
Argentina,2023,1,0,150.30918,138.43,2023-01-01
Argentina,2023,2,0,17.13129,2.85992,2023-02-01
Argentina,2023,3,0,409.11954,138.43,2023-03-01
Argentina,2023,4,0,202.11395,0,2023-04-01
Argentina,2023,5,0.362,503.46732,135.36801,2023-05-01
Argentina,2023,6,0,34.48702,0,2023-06-01
Argentina,2023,7,0,115.66604,5.2596,2023-07-01
Argentina,2023,8,0.6,740.66807,340.80745,2023-08-01
Argentina,2023,9,20.2372,763.26977,3.55601,2023-09-01
Argentina,2023,10,0,374.46752,0,2023-10-01
Argentina,2023,11,0,4546.79994,3733.22618,2023-11-01
Argentina,2023,12,0,88.618,3.02477,2023-12-01
Argentina,2022,1,0,1703.96741,0.002,2022-01-01
Argentina,2022,2,0,727.03578,159.02806,2022-02-01
Argentina,2022,3,18.97872,654.92984,5.0169,2022-03-01
Argentina,2022,4,0,8.97623,0,2022-04-01
Argentina,2022,5,0,623.11956,19.29509,2022-05-01
Argentina,2022,6,0,237.51865,2.74215,2022-06-01
Argentina,2022,7,0,633.27027,185.97854,2022-07-01
Argentina,2022,8,0,698.2488,240.18758,2022-08-01
Argentina,2022,9,0,1398.03716,44.53276,2022-09-01
Argentina,2022,10,0,99.10957,15.52793,2022-10-01
Argentina,2022,11,0.1,952.53716,924.75814,2022-11-01
Argentina,2022,12,0,238.59829,137.70825,2022-12-01
Argentina,2021,1,1.891,1286.40677,1270.72498,2021-01-01
Argentina,2021,2,14.24701,23.16342,14.74215,2021-02-01
Argentina,2021,3,0,46.99829,0,2021-03-01
Argentina,2021,4,0,40.09292,2.791,2021-04-01
Argentina,2021,5,0,17.55217,6.06151,2021-05-01
Argentina,2021,6,0,155.07495,126.96861,2021-06-01
Argentina,2021,7,0,39.37014,25.0625,2021-07-01
Argentina,2021,8,11.5064,288.61979,14.47426,2021-08-01
Argentina,2021,9,0,2132.33062,1423.09329,2021-09-01
Argentina,2021,10,0,434.96968,9.06016,2021-10-01
Argentina,2021,11,1.167,132.05752,75.6138,2021-11-01
Argentina,2021,12,0,76.04837,2.4715,2021-12-01
Argentina,2020,1,0,161.59243,3.33444,2020-01-01
Argentina,2020,2,62.37936,3703.19927,3699.72544,2020-02-01
Argentina,2020,3,0,941.45801,932.93319,2020-03-01
Argentina,2020,4,0,285.95983,0,2020-04-01
Argentina,2020,5,0,1030.96419,1260.9901,2020-05-01
Argentina,2020,6,0,1567.9348,1516.90586,2020-06-01
Argentina,2020,7,0.44738,1991.80793,1780.04691,2020-07-01
Argentina,2020,8,0.02,83.45531,0.09258,2020-08-01
Argentina,2020,9,0,72.71214,17.42353,2020-09-01
Argentina,2020,10,0,67.76528,38.71983,2020-10-01
Argentina,2020,11,0,1831.09749,1826.20191,2020-11-01
Argentina,2020,12,0.02602,316.56196,0,2020-12-01
Argentina,2019,1,0,10.42688,9.49761,2019-01-01
Argentina,2019,2,0,2254.89595,2183.92689,2019-02-01
Argentina,2019,3,0,1237.0556,1215.70544,2019-03-01
Argentina,2019,4,0,5.52493,0.02572,2019-04-01
Argentina,2019,5,0,26.44599,25.02157,2019-05-01
Argentina,2019,6,0,1987.05891,2407.99245,2019-06-01
Argentina,2019,7,0,1486.93026,1356.7735,2019-07-01
Argentina,2019,8,0,607.20208,602.01424,2019-08-01
Argentina,2019,9,0,3108.62225,3094.62955,2019-09-01
Argentina,2019,10,0,907.91517,882.58375,2019-10-01
Argentina,2019,11,0,1492.04773,1256.88463,2019-11-01
Argentina,2019,12,0,1886.3868,1649.54462,2019-12-01
Argentina,2018,1,0,1602.75465,1485.65113,2018-01-01
Argentina,2018,2,0,222.29265,140.51008,2018-02-01
Argentina,2018,3,0,98.05211,0,2018-03-01
Argentina,2018,4,0.1408,28.44958,17.94273,2018-04-01
Argentina,2018,5,0,1146.79131,1072.05327,2018-05-01
Argentina,2018,6,0,74.48079,0,2018-06-01
Argentina,2018,7,0,86.06741,49.32695,2018-07-01
Argentina,2018,8,0,3151.08206,3053.16046,2018-08-01
Argentina,2018,9,0,41.35336,32.56238,2018-09-01
Argentina,2018,10,0,2683.34831,2650.69102,2018-10-01
Argentina,2018,11,0,114.72903,104.98219,2018-11-01
Argentina,2018,12,0,21.67406,10.90781,2018-12-01
Argentina,2017,1,0,874.6157,872.7261,2017-01-01
Argentina,2017,2,0,28.06282,0.5099,2017-02-01
Argentina,2017,3,0,1381.08677,1353.83563,2017-03-01
Argentina,2017,4,1.21,25.07233,16.95518,2017-04-01
Argentina,2017,5,0,1366.58697,1361.97472,2017-05-01
Argentina,2017,6,0,114.66444,110.62022,2017-06-01
Argentina,2017,7,0,10.1825,0,2017-07-01
Argentina,2017,8,82.248,363.81512,106.09998,2017-08-01
Argentina,2017,9,0,193.27835,28.65375,2017-09-01
Argentina,2017,10,0,46.63393,78.51488,2017-10-01
Argentina,2017,11,0.1,60.50185,569.92826,2017-11-01
Argentina,2017,12,0,1701.06171,1692.5065,2017-12-01
Australia,2024,1,7.274,82.3014,56.33079,2024-01-01
Australia,2024,2,53.489,617.4551,453.17176,2024-02-01
Australia,2024,3,10.05018,286.6615,150.07781,2024-03-01
Australia,2023,1,0.868,335.23708,133.30596,2023-01-01
Australia,2023,2,0,127.49988,148.5498,2023-02-01
Australia,2023,3,18.6119,171.49156,36.09099,2023-03-01
Australia,2023,4,34.90624,134.03749,110.88254,2023-04-01
Australia,2023,5,5.797,339.86606,91.07708,2023-05-01
Australia,2023,6,48.15586,385.57236,128.47262,2023-06-01
Australia,2023,7,1.913,203.85912,119.54492,2023-07-01
Australia,2023,8,1.507,164.29882,48.57648,2023-08-01
Australia,2023,9,14.0385,338.1831,35.0824,2023-09-01
Australia,2023,10,57.45084,468.99831,9.7214,2023-10-01
Australia,2023,11,13.645,372.29694,103.28169,2023-11-01
Australia,2023,12,17.686,277.90434,22.75656,2023-12-01
Australia,2022,1,40.98976,531.63471,444.36837,2022-01-01
Australia,2022,2,43.6292,163.35515,124.34531,2022-02-01
Australia,2022,3,29.87891,70.24546,40.53302,2022-03-01
Australia,2022,4,28.44042,126.60515,44.87196,2022-04-01
Australia,2022,5,80.0151,524.84483,466.94774,2022-05-01
Australia,2022,6,4.73534,1151.89037,870.76285,2022-06-01
Australia,2022,7,2.31394,309.33001,298.34782,2022-07-01
Australia,2022,8,5.255,516.5399,425.34069,2022-08-01
Australia,2022,9,12.42656,283.10604,146.87478,2022-09-01
Australia,2022,10,23.64272,966.15039,970.36575,2022-10-01
Australia,2022,11,68.8253,1022.10863,357.33969,2022-11-01
Australia,2022,12,4.50601,323.13733,260.63245,2022-12-01
Australia,2021,1,0.3,139.6015,129.29628,2021-01-01
Australia,2021,2,7.312,282.27935,176.06806,2021-02-01
Australia,2021,3,58.76367,270.22265,298.65763,2021-03-01
Australia,2021,4,81.19415,460.91144,422.13566,2021-04-01
Australia,2021,5,1.3618,430.18672,378.97837,2021-05-01
Australia,2021,6,21.27793,216.9576,21.61597,2021-06-01
Australia,2021,7,1011.7764,173.4019,125.17166,2021-07-01
Australia,2021,8,20.28183,82.28973,22.62483,2021-08-01
Australia,2021,9,2.05966,330.0482,199.38578,2021-09-01
Australia,2021,10,28.38358,318.85188,154.07012,2021-10-01
Australia,2021,11,17.7672,340.35083,99.17118,2021-11-01
Australia,2021,12,32.91306,2906.90918,63.47825,2021-12-01
Australia,2020,1,7.17445,203.97899,211.01787,2020-01-01
Australia,2020,2,0.95,89.30019,44.1048,2020-02-01
Australia,2020,3,87.98715,120.62709,99.19064,2020-03-01
Australia,2020,4,0,46.10832,66.0362,2020-04-01
Australia,2020,5,12.95383,490.91381,498.59127,2020-05-01
Australia,2020,6,0.61979,59.98802,16.79937,2020-06-01
Australia,2020,7,1.33316,227.71554,147.52832,2020-07-01
Australia,2020,8,1.1195,146.09457,72.5725,2020-08-01
Australia,2020,9,1.7155,431.10526,282.71401,2020-09-01
Australia,2020,10,16.0462,194.31214,180.36294,2020-10-01
Australia,2020,11,58.83725,171.63034,123.37405,2020-11-01
Australia,2020,12,1.9132,848.25056,857.95895,2020-12-01
Australia,2019,1,0.007,186.39259,121.0933,2019-01-01
Australia,2019,2,2.768,98.02377,49.77681,2019-02-01
Australia,2019,3,1.855,162.42244,20.8713,2019-03-01
Australia,2019,4,27.43702,262.69891,226.13599,2019-04-01
Australia,2019,5,21.77568,200.37187,101.18867,2019-05-01
Australia,2019,6,2.34,339.98242,125.2817,2019-06-01
Australia,2019,7,0,137.19722,71.62358,2019-07-01
Australia,2019,8,15.035,71.39432,59.35422,2019-08-01
Australia,2019,9,1.595,295.19761,271.53313000000003,2019-09-01
Australia,2019,10,0.1678,411.36569,255.97444,2019-10-01
Australia,2019,11,3.0125,569.29158,265.69051,2019-11-01
Australia,2019,12,15.13876,526.20783,170.96262,2019-12-01
Australia,2018,1,0.208,97.15404,45.201,2018-01-01
Australia,2018,2,1.72,220.77171,175.9977,2018-02-01
Australia,2018,3,2.68194,385.31691,628.49067,2018-03-01
Australia,2018,4,20.66556,150.66041,139.342,2018-04-01
Australia,2018,5,1.24,435.11248,399.05316,2018-05-01
Australia,2018,6,7.51,732.44562,566.67662,2018-06-01
Australia,2018,7,2.385,494.2943,465.72848,2018-07-01
Australia,2018,8,2.367,276.4582,241.52246,2018-08-01
Australia,2018,9,26.6387,60.70081,47.34311,2018-09-01
Australia,2018,10,8.736,207.33583,127.86714,2018-10-01
Australia,2018,11,0.03215,134.5589,40.33838,2018-11-01
Australia,2018,12,3.066,96.94511,48.16293,2018-12-01
Australia,2017,1,0,570.89387,575.47198,2017-01-01
Australia,2017,2,2.16,368.67024,60.10136,2017-02-01
Australia,2017,3,49.67058,189.89853,129.5027,2017-03-01
Australia,2017,4,0.2,432.119,351.36498,2017-04-01
Australia,2017,5,0,26.26688,16.10177,2017-05-01
Australia,2017,6,6.0269,68.17202,52.14278,2017-06-01
Australia,2017,7,2.045,155.10379,146.1079,2017-07-01
Australia,2017,8,20.95702,223.79631,198.6634,2017-08-01
Australia,2017,9,5.26875,203.78356,124.20063,2017-09-01
Australia,2017,10,19.04048,847.09579,746.18065,2017-10-01
Australia,2017,11,5.67479,585.40253,474.73483,2017-11-01
Australia,2017,12,5.236,674.81138,669.23962,2017-12-01
Austria,2024,1,0.09657,2567.90222,1759.74219,2024-01-01
Austria,2024,2,7.14459,3116.97094,3013.44828,2024-02-01
Austria,2024,3,0,5691.37533,4566.7709,2024-03-01
Austria,2023,1,103.98393,9186.28251,2996.27432,2023-01-01
Austria,2023,2,4.45628,8506.53012,3941.76623,2023-02-01
Austria,2023,3,1.152,8328.97264,4930.15644,2023-03-01
Austria,2023,4,149.22153,5146.45334,5823.17602,2023-04-01
Austria,2023,5,4.65997,7718.51923,8387.30663,2023-05-01
Austria,2023,6,568.29542,6966.23316,9227.27009,2023-06-01
Austria,2023,7,33.65975,8199.91281,8384.53882,2023-07-01
Austria,2023,8,9.17732,5458.70715,4336.13208,2023-08-01
Austria,2023,9,4.23598,5505.21759,4018.60325,2023-09-01
Austria,2023,10,10.73737,6000.16413,5427.70998,2023-10-01
Austria,2023,11,151.38906,5037.88866,6829.21475,2023-11-01
Austria,2023,12,211.20203,5244.08479,6256.55288,2023-12-01
Austria,2022,1,245.80424,2488.5456,2893.1342,2022-01-01
Austria,2022,2,15.01589,1229.00094,1437.48565,2022-02-01
Austria,2022,3,13.43406,1280.66185,2281.94064,2022-03-01
Austria,2022,4,93.34726,2340.75586,1342.80426,2022-04-01
Austria,2022,5,277.89631,2667.46488,2116.80094,2022-05-01
Austria,2022,6,9.80181,1449.78302,2673.3278,2022-06-01
Austria,2022,7,36.57281,2434.73635,2139.44914,2022-07-01
Austria,2022,8,15.35644,7350.83467,5938.68596,2022-08-01
Austria,2022,9,219.52668,7518.56679,4546.13598,2022-09-01
Austria,2022,10,585.27618,4529.72907,3110.33492,2022-10-01
Austria,2022,11,127.75448,5327.26347,3721.78998,2022-11-01
Austria,2022,12,256.65164,5539.2925,2600.18697,2022-12-01
Austria,2021,1,0,1286.6599,1133.93572,2021-01-01
Austria,2021,2,14.09563,1605.67803,1997.46799,2021-02-01
Austria,2021,3,1.20957,1927.5473,2140.15419,2021-03-01
Austria,2021,4,78.29548,1709.95869,2519.30504,2021-04-01
Austria,2021,5,204.95118,2470.37598,2009.41896,2021-05-01
Austria,2021,6,300.53451,1837.59763,1515.42686,2021-06-01
Austria,2021,7,139.73304,2293.53199,1548.01256,2021-07-01
Austria,2021,8,86.127,2486.41849,2229.86709,2021-08-01
Austria,2021,9,20.69816,1922.95186,936.18457,2021-09-01
Austria,2021,10,152.39695,1840.17241,2141.65544,2021-10-01
Austria,2021,11,718.92873,1856.82265,2540.4022,2021-11-01
Austria,2021,12,285.63224,1864.97433,2171.31061,2021-12-01
Austria,2020,1,188.22326,951.42965,1215.09082,2020-01-01
Austria,2020,2,120.02951,3407.01274,3638.24379,2020-02-01
Austria,2020,3,413.78502,3682.01239,3564.16723,2020-03-01
Austria,2020,4,486.769,2103.53283,1171.888,2020-04-01
Austria,2020,5,470.5884,1197.99738,1166.96123,2020-05-01
Austria,2020,6,489.34957000000003,1688.82591,4397.55608,2020-06-01
Austria,2020,7,443.0219,1748.37587,2017.4921,2020-07-01
Austria,2020,8,308.60509,1439.21369,2535.39042,2020-08-01
Austria,2020,9,300.2524,1274.31086,956.94757,2020-09-01
Austria,2020,10,32.28076,2015.51207,1877.79873,2020-10-01
Austria,2020,11,445.72882,1491.85666,1064.50918,2020-11-01
Austria,2020,12,151.68819,2807.96629,3430.87411,2020-12-01
Austria,2019,1,440.90828,853.02712,2216.03206,2019-01-01
Austria,2019,2,528.38889,2936.96368,2385.1014,2019-02-01
Austria,2019,3,65.36781,3074.11538,2558.23341,2019-03-01
Austria,2019,4,125.09913,2940.39209,1081.03199,2019-04-01
Austria,2019,5,455.65805,1795.34716,1517.12693,2019-05-01
Austria,2019,6,283.75411,2218.49378,3106.45274,2019-06-01
Austria,2019,7,453.37327,3620.39329,5123.6112,2019-07-01
Austria,2019,8,1.67258,4216.59046,4192.91461,2019-08-01
Austria,2019,9,83.34383,3525.32965,3291.93385,2019-09-01
Austria,2019,10,406.06992,1925.15749,1792.37047,2019-10-01
Austria,2019,11,239.2725,3687.23466,3490.62334,2019-11-01
Austria,2019,12,401.92266,3248.90656,3728.24497,2019-12-01
Austria,2018,1,0.008,1543.33629,1978.14042,2018-01-01
Austria,2018,2,224.18351,1798.18691,4366.02605,2018-02-01
Austria,2018,3,368.58478,1739.68692,1430.91151,2018-03-01
Austria,2018,4,729.67986,1768.00558,2135.68506,2018-04-01
Austria,2018,5,758.04961,2170.04141,3055.92712,2018-05-01
Austria,2018,6,738.08139,902.99469,2049.40083,2018-06-01
Austria,2018,7,249.45065,1734.43283,3939.28224,2018-07-01
Austria,2018,8,832.2886,2846.87577,3559.58941,2018-08-01
Austria,2018,9,867.84226,1695.15947,2669.21495,2018-09-01
Austria,2018,10,538.85369,3501.34156,3002.30554,2018-10-01
Austria,2018,11,466.98929,7205.02073,5256.15765,2018-11-01
Austria,2018,12,596.51324,1867.45761,1998.10238,2018-12-01
Austria,2017,1,136.61724,744.51479,1059.22455,2017-01-01
Austria,2017,2,60.2967,984.92774,1174.60575,2017-02-01
Austria,2017,3,77.78663,1035.17223,949.15555,2017-03-01
