country,family_costs_usd,family_costs_lcu,single_costs_usd,single_costs_lcu,lcu_unit,cost_of_living_to_armenia,rent_to_armenia,date_of_scrape
Lithuania,2811,2571.4,815.6,746,€,13.9,-15.6,2024-08-09
Luxembourg,3687.3,3373,1059.2,968.9,€,59.1,125.4,2024-08-09
Macao (China),3278.6,26307.8,892.5,7161.2,P,36.4,48.8,2024-08-09
Madagascar,1385.4,6288234.4,402.1,1825201.3,Ar,-46.1,-66.9,2024-08-09
Malawi,2001,776173.9,579.8,224907.5,AMD,-9.3,-73.9,2024-08-09
Malaysia,1803.9,8058.1,510.2,2279.2,RM,-26.6,-56.1,2024-08-09
Maldives,2895.3,44472.4,826.7,12697.5,Rf,14.5,24.2,2024-08-09
Malta,3089.9,2826.5,849.1,776.7,€,25.3,28.5,2024-08-09
Martinique,3795.2,3471.7,1046.6,957.4,€,55.3,4.2,2024-08-09
Mauritania,2904.8,114976.6,821.3,32508.6,MRU,-0.6,-70,2024-08-09
Mauritius,2067.1,95912.8,574.9,26673.3,Rs,-14.9,-47.4,2024-08-09
Mexico,2294.3,44179.8,635.1,12230.2,MXN,-10.3,-20.3,2024-08-09
Micronesia,3423.6,1328004.6,985.1,382128.4,AMD,37,15,2024-08-09
Moldova,2043.6,36068.1,621.4,10967.3,L,-21.5,-42.5,2024-08-09
Monaco,7091.9,6487.4,1957.2,1790.4,€,253.9,NA,2024-08-09
Mongolia,2061.9,7006463.5,577.9,1963845.6,$,-25.3,-37.3,2024-08-09
Montenegro,2372.4,2170.2,674.5,617,€,-5.5,-14.7,2024-08-09
Morocco,1697.8,16647.2,480,4706.8,MAD,-31.6,-60.8,2024-08-09
Mozambique,2390.8,152761.7,686.3,43852.9,MT,-3,-11,2024-08-09
Myanmar,1683.1,652877,477.4,185197.4,AMD,-15,-25.2,2024-08-09
Namibia,1908.4,34942.4,547.8,10030.4,N$,-30.4,-45.3,2024-08-09
Nepal,1296.2,173982.7,372.7,50019.3,N,-40.9,-82,2024-08-09
Netherlands,3725.6,3408.1,1065.3,974.5,€,53.2,78.9,2024-08-09
New Caledonia,4458.4,486684.8,1245.3,135934.5,F,78.4,0.3,2024-08-09
New Zealand,3660.5,6099.5,1014.7,1690.7,NZ$,50.6,37.3,2024-08-09
Nicaragua,1972.9,765305.1,560.2,217306,AMD,-24.9,-56.2,2024-08-09
Niger,2413.4,1448140,732,439223,CFA,240.5,-39.4,2024-08-09
Nigeria,2000.3,775919.9,550,213363.5,AMD,-30,19.6,2024-08-09
North Korea,2172.6,1987.4,598.3,547.3,€,-14.2,-34.1,2024-08-09
North Macedonia,1947.5,109587.6,571.7,32168.2,$,-22.5,-65,2024-08-09
Norway,4293.7,46318.1,1200,12944.8,kr,77.3,39.2,2024-08-09
Oman,2533.3,975.2,730.9,281.4,$,-2.9,-34.4,2024-08-09
Pakistan,1094.7,304874.3,340.8,94899.7,Rs,-56.3,-85.1,2024-08-09
Palestine,2265,8583.2,640.9,2428.9,$,-8.5,-60.6,2024-08-09
Panama,2864.2,1111025.4,795.4,308553.5,AMD,7.5,8.3,2024-08-09
Papua New Guinea,3165.3,12439.7,928.6,3649.6,K,76.9,103.7,2024-08-09
Paraguay,1592.7,12037240.1,449.5,3397382.7,Gs,-41.2,-52.9,2024-08-09
Peru,1768.6,6579.7,500.3,1861.4,S,-28.2,-46.5,2024-08-09
Philippines,1893.5,108840.5,548.4,31521.8,₱,-27.6,-62.3,2024-08-09
Poland,2425.1,9593.6,736.4,2913.3,z,-0.7,-8.2,2024-08-09
Portugal,2581.4,2361.3,732.5,670,€,7,28.4,2024-08-09
Puerto Rico,3710.6,1439334.6,1071.3,415564.8,AMD,45,5.6,2024-08-09
Qatar,3242.3,11818.1,909.2,3313.9,QR,21.9,82.6,2024-08-09
Reunion,3185,2913.5,877.8,803,€,34.8,-5,2024-08-09
Romania,2233.4,10168.3,644.8,2935.6,lei,-11.3,-46.9,2024-08-09
Russia,1849.8,158663.1,528.7,45350.3,$,-28.4,-46.8,2024-08-09
Rwanda,1576.6,2078284.8,446.9,589105,RF,-13.9,-46.6,2024-08-09
Saint Vincent And The Grenadines,3780.5,10216.9,1026.1,2773.1,EC$,47.3,-28.2,2024-08-09
San Marino,2892.2,2645.7,793.4,725.8,€,15.1,-32.6,2024-08-09
Saudi Arabia,2853.2,10709,800.1,3003,$,3,-39.6,2024-08-09
Senegal,2746.3,1647933.7,778.3,467006,CFA,4.2,24.9,2024-08-09
Serbia,2213.6,236950.6,649.9,69565.6,$,-9.5,-33.8,2024-08-09
