"date","code","name","cpi_month"
"2019-06-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",1.001
"2019-07-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",1
"2019-08-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",1
"2019-09-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",0.997
"2019-10-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",0.989
"2019-11-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",0.997
"2019-12-01","07.2.2","Վառելանյութեր և քսանյութեր անձնական փոխադրամիջոցների համար (Կ)",1.003
"2019-01-01","07.2.2.1","Դիզելային վառելիք (Կ)",0.943
"2019-02-01","07.2.2.1","Դիզելային վառելիք (Կ)",1.004
"2019-03-01","07.2.2.1","Դիզելային վառելիք (Կ)",1.026
"2019-04-01","07.2.2.1","Դիզելային վառելիք (Կ)",1.018
"2019-05-01","07.2.2.1","Դիզելային վառելիք (Կ)",1.031
"2019-06-01","07.2.2.1","Դիզելային վառելիք (Կ)",1.001
"2019-07-01","07.2.2.1","Դիզելային վառելիք (Կ)",1
"2019-08-01","07.2.2.1","Դիզելային վառելիք (Կ)",1
"2019-09-01","07.2.2.1","Դիզելային վառելիք (Կ)",0.947
"2019-10-01","07.2.2.1","Դիզելային վառելիք (Կ)",0.96
"2019-11-01","07.2.2.1","Դիզելային վառելիք (Կ)",1.002
"2019-12-01","07.2.2.1","Դիզելային վառելիք (Կ)",1.018
"2019-01-01","07.2.2.2","Բենզին (Կ)",0.933
"2019-02-01","07.2.2.2","Բենզին (Կ)",0.995
"2019-03-01","07.2.2.2","Բենզին (Կ)",1.017
"2019-04-01","07.2.2.2","Բենզին (Կ)",1.008
"2019-05-01","07.2.2.2","Բենզին (Կ)",1.027
"2019-06-01","07.2.2.2","Բենզին (Կ)",1.008
"2019-07-01","07.2.2.2","Բենզին (Կ)",1
"2019-08-01","07.2.2.2","Բենզին (Կ)",1
"2019-09-01","07.2.2.2","Բենզին (Կ)",0.981
"2019-10-01","07.2.2.2","Բենզին (Կ)",0.958
"2019-11-01","07.2.2.2","Բենզին (Կ)",0.998
"2019-12-01","07.2.2.2","Բենզին (Կ)",1.021
"2019-01-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",0.999
"2019-02-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1
"2019-03-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1
"2019-04-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1.016
"2019-05-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1.034
"2019-06-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1
"2019-07-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1
"2019-08-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1
"2019-09-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1
"2019-10-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",0.994
"2019-11-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",0.997
"2019-12-01","07.2.2.3","Այլ վառելանյութ անձնական փոխադրամիջոցների համար (Կ)",1
"2019-01-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.005
"2019-02-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.002
"2019-03-01","07.2.2.4","Քսանյութեր և համանման միջոցներ անձնական փոխադրամիջոցների համար (Կ)",1.001
