"date","year","month","name","industry","agriculture","construction","trade","services"
"2023-11-01",2023,11,"month_growth",126.8,NA,108.3,107.6,96.2
"2023-12-01",2023,12,"mln dram",364579.8,NA,126752.5,696895.8,284163.6
"2023-12-01",2023,12,"yoy_growth",120,NA,111.5,135.9,103.4
"2023-12-01",2023,12,"month_growth",111.6,NA,170.1,125.7,110
NA,2023,13,"mln dram",2783214.8,948040.1,619686,5492384.2,3025912.2
NA,2023,13,"yoy_growth",104.1,99.7,114.8,125.7,110.3
"2022-01-01",2022,1,"mln dram",177881.9,NA,14114.8,230850.3,156716
"2022-01-01",2022,1,"yoy_growth",116.7,NA,103,111.5,121.2
"2022-01-01",2022,1,"month_growth",62.2,NA,13.5,58.1,83.8
"2022-02-01",2022,2,"mln dram",186372,NA,18620.6,258648.6,159581.7
"2022-02-01",2022,2,"yoy_growth",103,NA,106.3,105.3,119
"2022-02-01",2022,2,"month_growth",100.5,NA,130.8,111.9,101.4
"2022-03-01",2022,3,"mln dram",188582.1,NA,23221.7,291650.2,186913
"2022-03-01",2022,3,"yoy_growth",93.6,NA,108.2,106.6,125.9
"2022-03-01",2022,3,"month_growth",98.7,NA,125,110.8,116
"2022-04-01",2022,4,"mln dram",204768.3,NA,25299.2,305450.2,194968
"2022-04-01",2022,4,"yoy_growth",101.8,NA,115.6,108.6,127.1
"2022-04-01",2022,4,"month_growth",111.7,NA,108.5,101.7,102.1
"2022-05-01",2022,5,"mln dram",204540.6,NA,30788.6,334838.3,208435.5
"2022-05-01",2022,5,"yoy_growth",102.3,NA,118.1,112.4,130.2
"2022-05-01",2022,5,"month_growth",103.5,NA,121,109.8,106.3
"2022-06-01",2022,6,"mln dram",232756.7,NA,36985.7,378668.2,226714
"2022-06-01",2022,6,"yoy_growth",119.2,NA,116.7,118.2,135.5
"2022-06-01",2022,6,"month_growth",117,NA,120.1,112.8,108
"2022-07-01",2022,7,"mln dram",216225.6,NA,41522.1,404839.1,229404.7
"2022-07-01",2022,7,"yoy_growth",113.7,NA,116.8,121.3,130.6
"2022-07-01",2022,7,"month_growth",96.7,NA,112.5,109.3,99.7
"2022-08-01",2022,8,"mln dram",235449.2,NA,52542,401321.2,224506.6
"2022-08-01",2022,8,"yoy_growth",123.3,NA,116.3,120,125.2
"2022-08-01",2022,8,"month_growth",110.5,NA,126.5,99.1,96.8
"2022-09-01",2022,9,"mln dram",235692.2,NA,57121.1,411877,237049.3
"2022-09-01",2022,9,"yoy_growth",114.7,NA,114.6,120.7,126.3
"2022-09-01",2022,9,"month_growth",98.2,NA,108.8,102.1,104.7
"2022-10-01",2022,10,"mln dram",246836.1,NA,60547.8,405684.3,250024.8
"2022-10-01",2022,10,"yoy_growth",109.7,NA,115.1,123.1,134.9
"2022-10-01",2022,10,"month_growth",105.3,NA,106.2,98.1,104.4
"2022-11-01",2022,11,"mln dram",254762.2,NA,66940.9,422682,240039.1
"2022-11-01",2022,11,"yoy_growth",97.7,NA,111.3,122.1,130.9
"2022-11-01",2022,11,"month_growth",101.9,NA,110.5,102.7,95.8
"2022-12-01",2022,12,"mln dram",297815.1,NA,113405.9,523777.6,261438.1
"2022-12-01",2022,12,"yoy_growth",102.7,NA,107.3,123.9,127.9
"2022-12-01",2022,12,"month_growth",113.5,NA,169.8,122.4,108.7
NA,2022,13,"mln dram",2681682,1021367.2,541110.4,4370287,2575790.8
NA,2022,13,"yoy_growth",107.8,100.4,112.5,117,128.2
"2021-01-01",2021,1,"mln dram",137338.3,NA,12566.3,189340,126179.7
"2021-01-01",2021,1,"yoy_growth",89.2,NA,100.8,86,87.1
"2021-01-01",2021,1,"month_growth",57.1,NA,13.7,54,77.9
"2021-02-01",2021,2,"mln dram",157857.5,NA,16222.3,226389.7,132082.9
"2021-02-01",2021,2,"yoy_growth",94.9,NA,101.1,92.5,87.5
"2021-02-01",2021,2,"month_growth",115.3,NA,128.4,118.7,104.2
"2021-03-01",2021,3,"mln dram",175215.8,NA,19990,250784.2,144563.3
"2021-03-01",2021,3,"yoy_growth",103.8,NA,110.8,104.9,100.5
"2021-03-01",2021,3,"month_growth",109.1,NA,123.5,109.5,109.3
"2021-04-01",2021,4,"mln dram",180381.9,NA,20594.8,254574.7,146480.1
"2021-04-01",2021,4,"yoy_growth",116.9,NA,187.7,148.1,114.9
"2021-04-01",2021,4,"month_growth",102.1,NA,101.1,99.8,101.2
"2021-05-01",2021,5,"mln dram",189908.1,NA,25156.3,268599,151707.1
"2021-05-01",2021,5,"yoy_growth",107.9,NA,100.5,117.8,117
"2021-05-01",2021,5,"month_growth",103.4,NA,117.9,106,103.5
"2021-06-01",2021,6,"mln dram",195818.1,NA,31069.5,284589,157827.4
"2021-06-01",2021,6,"yoy_growth",101.3,NA,101.3,110.5,111.4
"2021-06-01",2021,6,"month_growth",99.1,NA,121.9,107.3,103.6
"2021-07-01",2021,7,"mln dram",189206.8,NA,35000.6,301093,162974.5
"2021-07-01",2021,7,"yoy_growth",101.7,NA,102.2,105.4,113.8
"2021-07-01",2021,7,"month_growth",100,NA,112.1,106.5,103.2
"2021-08-01",2021,8,"mln dram",189983.7,NA,44726.1,303239.6,164694.2
"2021-08-01",2021,8,"yoy_growth",94.8,NA,102.3,105.2,110.2
"2021-08-01",2021,8,"month_growth",100.6,NA,127.8,100.2,101
"2021-09-01",2021,9,"mln dram",206536.8,NA,49130.3,307547.9,170628.2
"2021-09-01",2021,9,"yoy_growth",98.8,NA,102.6,101.5,109.6
"2021-09-01",2021,9,"month_growth",105.9,NA,110.1,101.5,103.4
"2021-10-01",2021,10,"mln dram",225942.8,NA,51895.2,298772,167998.3
"2021-10-01",2021,10,"yoy_growth",103.9,NA,104.9,112.9,114.6
"2021-10-01",2021,10,"month_growth",109.6,NA,105.5,96.3,98.5
"2021-11-01",2021,11,"mln dram",256914,NA,59404.7,316556.1,166976
"2021-11-01",2021,11,"yoy_growth",115.7,NA,110.8,115.8,116.8
"2021-11-01",2021,11,"month_growth",113.8,NA,114.4,103.7,99
"2021-12-01",2021,12,"mln dram",280805.9,NA,104322.9,389498,187149.4
"2021-12-01",2021,12,"yoy_growth",107.9,NA,108.8,103.6,112.3
"2021-12-01",2021,12,"month_growth",106.8,NA,176,120.6,112
NA,2021,13,"mln dram",2385909.7,933002,470079,3390983.2,1879261.1
NA,2021,13,"yoy_growth",103.3,98.9,107.4,107.5,107.8
"2020-01-01",2020,1,"mln dram",143800.7,NA,11846.3,207329.2,144512.3
"2020-01-01",2020,1,"yoy_growth",114,NA,107.7,110.3,111.8
"2020-01-01",2020,1,"month_growth",57.7,NA,13.2,52.7,69.6
"2020-02-01",2020,2,"mln dram",155770.7,NA,15119.8,228235.1,149643.7
"2020-02-01",2020,2,"yoy_growth",116.5,NA,104.3,102.8,110.1
"2020-02-01",2020,2,"month_growth",109.7,NA,125,110.4,103.4
"2020-03-01",2020,3,"mln dram",150829.2,NA,16948.2,221966.1,142246
"2020-03-01",2020,3,"yoy_growth",98.1,NA,73.8,90.1,95.7
"2020-03-01",2020,3,"month_growth",98,NA,114,96.5,95.1
"2020-04-01",2020,4,"mln dram",134813.1,NA,10114.9,158557,125804.3
"2020-04-01",2020,4,"yoy_growth",92.3,NA,49,66.9,83
"2020-04-01",2020,4,"month_growth",90.8,NA,59.4,70.6,88
"2020-05-01",2020,5,"mln dram",150388.6,NA,23432.6,210608.2,127226.9
"2020-05-01",2020,5,"yoy_growth",96.8,NA,73,81.6,79.8
"2020-05-01",2020,5,"month_growth",111.9,NA,212.9,133.3,101.2
"2020-06-01",2020,6,"mln dram",160349.8,NA,28317.8,235763.2,138180.4
"2020-06-01",2020,6,"yoy_growth",98.4,NA,76.7,87.6,83.6
"2020-06-01",2020,6,"month_growth",106.3,NA,121.6,114.3,108.7
"2020-07-01",2020,7,"mln dram",164202.7,NA,31788.1,255299.9,139556.3
"2020-07-01",2020,7,"yoy_growth",97.7,NA,80.5,89.6,78.3
"2020-07-01",2020,7,"month_growth",101.4,NA,110.8,111.7,100.9
"2020-08-01",2020,8,"mln dram",182533.1,NA,41461.8,256191.6,145335.8
"2020-08-01",2020,8,"yoy_growth",98.8,NA,94.7,85.2,80.5
"2020-08-01",2020,8,"month_growth",108.4,NA,129.8,100.4,104.3
"2020-09-01",2020,9,"mln dram",190323.4,NA,45311.4,268659.6,151686.9
"2020-09-01",2020,9,"yoy_growth",101.8,NA,100.6,89.2,81.6
"2020-09-01",2020,9,"month_growth",103.1,NA,109.4,105.2,104.2
"2020-10-01",2020,10,"mln dram",194788.9,NA,46741.8,234291.8,142975.3
"2020-10-01",2020,10,"yoy_growth",97,NA,100.3,79.1,76.6
"2020-10-01",2020,10,"month_growth",103.2,NA,103,86.6,94.2
"2020-11-01",2020,11,"mln dram",204302.9,NA,51352.8,240825.7,139081.9
"2020-11-01",2020,11,"yoy_growth",93.9,NA,102,78,81.3
"2020-11-01",2020,11,"month_growth",104,NA,110,101,97.2
"2020-12-01",2020,12,"mln dram",238183.4,NA,91395.4,340330.4,162201
"2020-12-01",2020,12,"yoy_growth",94.2,NA,97,82.6,77.4
"2020-12-01",2020,12,"month_growth",114.4,NA,177.7,134.6,116.3
NA,2020,13,"mln dram",2070286.5,819311.9,413830.9,2858057.8,1708450.8
NA,2020,13,"yoy_growth",99.1,101.4,90.5,86,85.3
"2019-01-01",2019,1,"mln dram",124934.5,NA,10766.2,187801.6,132706.3
"2019-01-01",2019,1,"yoy_growth",98.8,NA,122.1,119.3,116.5
"2019-01-01",2019,1,"month_growth",53.9,NA,12.8,51.1,72.4
"2019-02-01",2019,2,"mln dram",136840.6,NA,14349.9,224248.5,139914.2
"2019-02-01",2019,2,"yoy_growth",103.9,NA,121.3,108.3,119.9
"2019-02-01",2019,2,"month_growth",108.3,NA,129,118.4,105.1
"2019-03-01",2019,3,"mln dram",160751.9,NA,22612.1,247640.7,153010.1
"2019-03-01",2019,3,"yoy_growth",102.1,NA,100.5,108.8,115.6
"2019-03-01",2019,3,"month_growth",116.8,NA,161.1,110.2,109.2
"2019-04-01",2019,4,"mln dram",151122.4,NA,20475,235038.9,156013.3
"2019-04-01",2019,4,"yoy_growth",113.2,NA,101.8,109,117.3
"2019-04-01",2019,4,"month_growth",97,NA,89.2,95,101.9
"2019-05-01",2019,5,"mln dram",159462.4,NA,29133.3,255437.5,163879.4
"2019-05-01",2019,5,"yoy_growth",110.2,NA,102,104.9,115.7
"2019-05-01",2019,5,"month_growth",105.9,NA,143,109.2,105
"2019-06-01",2019,6,"mln dram",167388.4,NA,33666.7,264921.9,170053
"2019-06-01",2019,6,"yoy_growth",112.8,NA,100.6,106.7,110.8
"2019-06-01",2019,6,"month_growth",106.3,NA,115.9,106.4,103.7
"2019-07-01",2019,7,"mln dram",178474.3,NA,35745,281698.3,183311.5
"2019-07-01",2019,7,"yoy_growth",116.1,NA,104.1,109.1,115.6
"2019-07-01",2019,7,"month_growth",106.7,NA,105.9,109.3,107.8
"2019-08-01",2019,8,"mln dram",181161.5,NA,41494,289441.2,185484.3
"2019-08-01",2019,8,"yoy_growth",116.8,NA,103.9,109,115
"2019-08-01",2019,8,"month_growth",100.2,NA,116.7,103.4,101.2
"2019-09-01",2019,9,"mln dram",184309.1,NA,43593.7,291601.8,192477.5
"2019-09-01",2019,9,"yoy_growth",111,NA,104.2,107.5,115.1
"2019-09-01",2019,9,"month_growth",100.6,NA,104.9,100.6,103.6
"2019-10-01",2019,10,"mln dram",198954.6,NA,44474,286534.8,193416.4
"2019-10-01",2019,10,"yoy_growth",102.7,NA,105.1,109.4,112.4
"2019-10-01",2019,10,"month_growth",108.8,NA,102,97.6,100.4
"2019-11-01",2019,11,"mln dram",212687.3,NA,48466.3,297961.2,177298.8
"2019-11-01",2019,11,"yoy_growth",113.8,NA,104.8,112.3,111.6
"2019-11-01",2019,11,"month_growth",106.9,NA,108.9,102.5,91.6
"2019-12-01",2019,12,"mln dram",247826.7,NA,89825.8,386894.1,214808
"2019-12-01",2019,12,"yoy_growth",106.4,NA,104.9,106.4,116.6
"2019-12-01",2019,12,"month_growth",114.7,NA,185,127.7,121
NA,2019,13,"mln dram",2103913.7,852788.9,434602,3249220.5,2062372.8
NA,2019,13,"yoy_growth",109,95.8,104.6,108.9,115
"2018-01-01",2018,1,"mln dram",128254.6,17528.9,9333.7,156491.8,112041.4
"2018-01-01",2018,1,"yoy_growth",113.9,99.5,119.7,116.2,115
"2018-01-01",2018,1,"month_growth",75,18.8,10.6,44.9,78.1
"2018-02-01",2018,2,"mln dram",126448.9,27796.4,12309.3,202509.7,114576.3
"2018-02-01",2018,2,"yoy_growth",103.3,100.2,125.1,118,115.2
"2018-02-01",2018,2,"month_growth",100.4,158.8,129.9,130.3,101.9
"2018-03-01",2018,3,"mln dram",145811.3,35021.7,22878.9,222318.4,129849.5
"2018-03-01",2018,3,"yoy_growth",108.2,105.3,123.2,107.8,118.7
"2018-03-01",2018,3,"month_growth",117.5,125.9,194.4,109.7,113.1
"2018-04-01",2018,4,"mln dram",121600.3,49101.3,20237.7,209587.7,130640.5
"2018-04-01",2018,4,"yoy_growth",96.3,102.1,119.2,104.2,120.6
"2018-04-01",2018,4,"month_growth",84.4,143.8,88.1,94.8,100.5
"2018-05-01",2018,5,"mln dram",136133.6,50843.9,28929,234271.1,139589.5
"2018-05-01",2018,5,"yoy_growth",96.9,100.1,108.8,110.8,116.9
"2018-05-01",2018,5,"month_growth",113.3,141.9,142.4,113.5,106.5
"2018-06-01",2018,6,"mln dram",146777.4,89450.2,34102.3,239654.4,151073.5
"2018-06-01",2018,6,"yoy_growth",105.6,114,104.2,105.6,121.2
"2018-06-01",2018,6,"month_growth",105.8,216.1,117.6,104.6,108.4
"2018-07-01",2018,7,"mln dram",149541.1,93485.5,34944,251954.9,155879.3
"2018-07-01",2018,7,"yoy_growth",107.3,102.1,100.5,108.8,121.8
"2018-07-01",2018,7,"month_growth",103.4,124,102.2,106.9,103.2
"2018-08-01",2018,8,"mln dram",144332.1,101404.4,40802.7,262772.3,158811.6
"2018-08-01",2018,8,"yoy_growth",105.4,83.3,101.6,114.9,120
"2018-08-01",2018,8,"month_growth",97.4,125.2,117,103.6,107.7
"2018-09-01",2018,9,"mln dram",145875.5,130420.1,42370,270207.1,164984.2
"2018-09-01",2018,9,"yoy_growth",100.9,82.3,103.5,108.9,117.8
"2018-09-01",2018,9,"month_growth",100.9,150.7,104.4,102,104
"2018-10-01",2018,10,"mln dram",163976,124605.5,42846.7,259689.9,169313.7
"2018-10-01",2018,10,"yoy_growth",108.1,77.9,100.4,106.2,116.6
"2018-10-01",2018,10,"month_growth",111,92.2,101.7,95.9,102.8
"2018-11-01",2018,11,"mln dram",154647.7,75654.8,46991.7,262851.8,156512.9
"2018-11-01",2018,11,"yoy_growth",101.1,91.7,100.2,105.7,117.5
"2018-11-01",2018,11,"month_growth",93.2,61,109,100,92.4
"2018-12-01",2018,12,"mln dram",174287.1,94389.1,86556,359185.7,181478.8
"2018-12-01",2018,12,"yoy_growth",105.5,98,101.2,104.8,122.2
"2018-12-01",2018,12,"month_growth",112.5,122.1,184.7,134.1,115.7
NA,2018,13,"mln dram",1737685.6,889708.6,422302,2931494.8,1764751.2
NA,2018,13,"yoy_growth",104.3,92.4,104.5,108.7,118.8
"2017-01-01",2017,1,"mln dram",108081.7,16016.9,7556.2,128480.2,96249
"2017-01-01",2017,1,"yoy_growth",111.1,100.2,94.7,109,112.3
"2017-01-01",2017,1,"month_growth",76.1,21.8,9.8,43.5,79.4
"2017-02-01",2017,2,"mln dram",120311.8,24374,9578.3,163849.1,98018.7
"2017-02-01",2017,2,"yoy_growth",119.7,100,80.4,110.1,109.7
"2017-02-01",2017,2,"month_growth",111.1,155.8,124.5,128.7,101.7
"2017-03-01",2017,3,"mln dram",133424.3,29114.5,18638.1,196352.6,107677.4
"2017-03-01",2017,3,"yoy_growth",117.2,96.3,86.5,113.7,108.4
"2017-03-01",2017,3,"month_growth",111.7,120.6,197.3,120.2,109.8
"2017-04-01",2017,4,"mln dram",123635.6,44764.2,17086.2,195534.2,107087.2
"2017-04-01",2017,4,"yoy_growth",104.3,95,87,113.5,110.4
"2017-04-01",2017,4,"month_growth",93,154.2,91.2,98.3,99.3
"2017-05-01",2017,5,"mln dram",139559.3,56360.9,26766.2,207280.4,117052.1
"2017-05-01",2017,5,"yoy_growth",120,95.2,94.3,114.3,114.3
"2017-05-01",2017,5,"month_growth",112.7,147.1,156,106.5,109.5
"2017-06-01",2017,6,"mln dram",135306.7,76486.2,33119.2,223805,122635.1
"2017-06-01",2017,6,"yoy_growth",103.8,103.4,95.6,110.2,110.1
"2017-06-01",2017,6,"month_growth",96.6,200.9,123,109.5,104.8
"2017-07-01",2017,7,"mln dram",139230.3,87716.3,34990,223867.9,125817.7
"2017-07-01",2017,7,"yoy_growth",114.3,95.7,104.6,109.9,117.2
"2017-07-01",2017,7,"month_growth",102.7,156.4,105.9,103.7,102.6
"2017-08-01",2017,8,"mln dram",139147.1,125071.3,40859.9,217796.9,129606.1
"2017-08-01",2017,8,"yoy_growth",110.9,75,107.5,112.1,115.5
"2017-08-01",2017,8,"month_growth",99.1,165,115.6,98.1,102.9
"2017-09-01",2017,9,"mln dram",146413.6,124355,42233.8,235445,137422.8
"2017-09-01",2017,9,"yoy_growth",108.3,89.7,106,119,116.2
"2017-09-01",2017,9,"month_growth",104.7,138.6,102.5,107.7,105.9
"2017-10-01",2017,10,"mln dram",153179.4,153288.7,43983.5,234314.8,140601.5
"2017-10-01",2017,10,"yoy_growth",116.5,134.8,106.2,119.4,122.4
"2017-10-01",2017,10,"month_growth",103.7,103.1,100.6,98.2,102.4
"2017-11-01",2017,11,"mln dram",153044.9,77519.1,49746.7,241769.4,129020.8
"2017-11-01",2017,11,"yoy_growth",111,99.5,106.9,122.4,117.6
"2017-11-01",2017,11,"month_growth",99.7,48.5,113.4,100.8,91.5
"2017-12-01",2017,12,"mln dram",169619.8,91693,91315.2,333636.7,142327.1
"2017-12-01",2017,12,"yoy_growth",115.6,103.3,110.4,112.7,115.6
"2017-12-01",2017,12,"month_growth",110.2,111.1,183.4,135.1,110.1
NA,2017,13,"mln dram",1660995.3,906760.1,415873.3,2602132.2,1453515.5
NA,2017,13,"yoy_growth",112.6,97,102.2,114,114.4
