"year","hh","indicator","value","total_taxes","pct_growth","value_pct"
2011,"1.1.1","ԱԱՀ",324379.005,775922.7966,NA,0.41805577361741353
2011,"1.1.2","Շահութահարկ",97842.312,775922.7966,NA,0.1260979989616663
2011,"1.1.4","Ակցիզային հարկ",23152.217,775922.7966,NA,0.02983829976571151
2011,"1.1.7","Մաքսատուրք",34686.008,775922.7966,NA,0.04470291136178741
2011,"1.1.8","Այլ հարկային եկամուտներ",26476.776000000013,775922.7966,NA,0.03412295155654409
2011,"1.2","Սոցիալական վճար",123449.064,775922.7966,NA,0.15909967401517122
2011,"1.3","Պետական տուրք",22367.0056,775922.7966,NA,0.02882632872498336
2012,"1.1.1","ԱԱՀ",364544.0783,876670.948,0.12984300995081743,0.4158277163531601
2012,"1.1.2","Շահութահարկ",118653.4474,876670.948,0.12984300995081743,0.13534547673866798
2012,"1.1.4","Ակցիզային հարկ",28952.47414,876670.948,0.12984300995081743,0.033025474616275294
2012,"1.1.7","Մաքսատուրք",41293.98787,876670.948,0.12984300995081743,0.047103178181284955
2012,"1.1.8","Այլ հարկային եկամուտներ",36581.91610000001,876670.948,0.12984300995081743,0.0417282176208262
2012,"1.2","Սոցիալական վճար",129058.59563,876670.948,0.12984300995081743,0.1472144091513798
2012,"1.3","Պետական տուրք",23825.99942,876670.948,0.12984300995081743,0.027177813379530402
2013,"1.1.1","ԱԱՀ",396693.6741,999474.4928299999,0.14007940506088246,0.3969022490776795
2013,"1.1.10","Մաքսատուրք",44290.71405,999474.4928299999,0.14007940506088246,0.0443140013754542
2013,"1.1.11","Այլ հարկային եկամուտներ",41519.58475999997,999474.4928299999,0.14007940506088246,0.04154141507147198
2013,"1.1.2","Շահութահարկ",124597.77543,999474.4928299999,0.14007940506088246,0.1246632868810918
2013,"1.1.4","Եկամտային հարկ",251068.12008,999474.4928299999,0.14007940506088246,0.2512001275481315
2013,"1.1.5","Ակցիզային հարկ",31033.47981,999474.4928299999,0.14007940506088246,0.031049796700793313
2013,"1.1.7","Շրջանառության հարկ",13397.375689999999,999474.4928299999,0.14007940506088246,0.013404419808719172
2013,"1.2","Սոցիալական վճար",17631.66971,999474.4928299999,0.14007940506088246,0.017640940150534648
2013,"1.3","Պետական տուրք",27287.422570000002,999474.4928299999,0.14007940506088246,0.027301769845807667
2014,"1.1.1","ԱԱՀ",440361.43988,1058079.4467200001,0.058635767406190586,0.4161893903573131
2014,"1.1.2","Շահութահարկ",103597.38852000001,1058079.4467200001,0.058635767406190586,0.09791078433774265
2014,"1.1.3","Եկամտային հարկ",301549.86988,1058079.4467200001,0.058635767406190586,0.2849973797476091
2014,"1.1.4","Ակցիզային հարկ",50560.39508,1058079.4467200001,0.058635767406190586,0.04778506494643196
2014,"1.1.5","Շրջանառության հարկ",15638.594830000002,1058079.4467200001,0.058635767406190586,0.014780170693683693
2014,"1.1.8","Մաքսատուրք",48397.06394,1058079.4467200001,0.058635767406190586,0.04574048204983924
2014,"1.1.9","Այլ հարկային եկամուտներ",48824.31407999995,1058079.4467200001,0.058635767406190586,0.046144279837731644
2014,"1.2","Պետական տուրք",39281.81044999999,1058079.4467200001,0.058635767406190586,0.037125577452403864
2015,"1.1.1","ԱԱՀ",423933.48287999997,1065644.23049,0.0071495423084253495,0.3978189631684757
2015,"1.1.10","Սոցիալական վճար",10875.62274,1065644.23049,0.0071495423084253495,0.010205678808019463
2015,"1.1.11","Այլ հարկային եկամուտներ",11281.776100000001,1065644.23049,0.0071495423084253495,0.010586812912985475
2015,"1.1.2","Շահութահարկ",103659.94537,1065644.23049,0.0071495423084253495,0.0972744396338875
2015,"1.1.3","Եկամտային հարկ",320220.88807,1065644.23049,0.0071495423084253495,0.3004951173270627
2015,"1.1.4","Ակցիզային հարկ",48988.957370000004,1065644.23049,0.0071495423084253495,0.04597121250069933
2015,"1.1.5","Շրջանառության հարկ",11859.3039,1065644.23049,0.0071495423084253495,0.011128764704658426
2015,"1.1.8","Բնապահպանական հարկ և բնօգտագործման վճար",31255.68568,1065644.23049,0.0071495423084253495,0.02933031943093066
2015,"1.1.9","Մաքսատուրք",61487.50039,1065644.23049,0.0071495423084253495,0.05769983886810618
2015,"1.2","Պետական տուրք",32405.22006,1065644.23049,0.0071495423084253495,0.030409041904256893
2016,"1.1.1","ԱԱՀ",391087.7461,1078294.2045999998,0.011870729224690013,0.3626911323752097
