"date","nace_2_code","type_arm","type_eng","name_arm","name_eng","wages","wages_corrected","wages_cumulative","employees"
"2018-01-31","I","Պետական","Public","Կացության և հանրային սննդի կազմակերպում","Accommodation and food service activities",0,0,0,0
"2018-01-31","J","Պետական","Public","Տեղեկատվություն և կապ","Information and communication",187554,187554,187554,1645
"2018-01-31","K","Պետական","Public","Ֆինանսական և ապահովագրական գործունեություն","Financial and insurance activities",409814,409814,409814,816
"2018-01-31","L","Պետական","Public","Անշարժ գույքի հետ կապված գործունեություն","Real estate activities",110298,110298,110298,1005
"2018-01-31","M","Պետական","Public","Մասնագիտական, գիտական և տեխնիկական գործունեություն","Professional, scientific and technical activities",140580,140580,140580,7118
"2018-01-31","N","Պետական","Public","Վարչարարական և օժանդակ գործունեություն","Administrative and support service activities",116112,116112,116112,1776
"2018-01-31","O","Պետական","Public","Պետական կառավարում և պաշտպանություն, պարտադիր սոցիալական ապահովություն","Public administration and defence; compulsory social security",213739,213739,213739,36865
"2018-01-31","P","Պետական","Public","Կրթություն","Education",110306,110306,110306,101358
"2018-01-31","Q","Պետական","Public","Առողջապահություն և բնակչության սոցիալական սպասարկում","Human health and social work activities",135242,135242,135242,25276
"2018-01-31","R","Պետական","Public","Մշակույթ, զվարճություններ և հանգիստ","Arts, entertainment and recreation",102645,102645,102645,9288
"2018-01-31","S","Պետական","Public","Սպասարկման այլ ծառայություններ","Other service activities",103164,103164,103164,294
"2018-01-31","58.2, 62, 63.1","Ընդամենը","Total","որից՝  տեղեկատվական  տեխնոլոգիաներ","including: information technologies",552095,552095,552095,8966
"2018-01-31","72","Ընդամենը","Total","որից՝  գիտական հետազոտություններ և մշակումներ","including: scientific reserch and development",137151,137151,137151,6401
"2018-01-31","90-91","Ընդամենը","Total","որից՝  մշակույթ և արվեստ","including: culture and art",111717,111717,111717,NA
"2018-01-31","90-91","Ընդամենը","Total","որից՝  մշակույթ և արվեստ","including: culture and art",NA,NA,NA,NA
"2018-01-31","90-91","Ընդամենը","Total","որից՝  մշակույթ և արվեստ","including: culture and art",NA,NA,NA,NA
"2018-01-31","A","Ընդամենը","Total","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Agriculture, forestry and fishing",117396,117396,117396,4661
"2018-01-31","A-S","Ընդամենը","Total","Ընդամենը","Total",165374,165374,165374,509934
"2018-01-31","B","Ընդամենը","Total","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Mining and quarrying",428503,428503,428503,9069
"2018-01-31","C","Ընդամենը","Total","Մշակող արդյունաբերություն","Manufacturing",153254,153254,153254,54814
"2018-01-31","D","Ընդամենը","Total","Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում","Electricity, gas, steam and air conditioning supply",229164,229164,229164,20691
"2018-01-31","E","Ընդամենը","Total","Ջրամատակարարում, կոյուղի, թափոնների կառավարում
և վերամշակում","Water supply; sewerage, waste management and remediation activities",160207,160207,160207,6259
"2018-01-31","F","Ընդամենը","Total","Շինարարություն","Construction",176833,176833,176833,14977
"2018-01-31","G","Ընդամենը","Total","Մեծածախ և մանրածախ առևտուր, ավտոմեքենաների և մոտոցիկլների նորոգում","Wholesale and retail trade; repair of motor vehicles and motorcycles",124928,124928,124928,71995
"2018-01-31","H","Ընդամենը","Total","Փոխադրումներ և պահեստային տնտեսություն","Transportation and storage",170992,170992,170992,19500
"2018-01-31","I","Ընդամենը","Total","Կացության և հանրային սննդի կազմակերպում","Accommodation and food service activities",107012,107012,107012,16305
"2018-01-31","J","Ընդամենը","Total","Տեղեկատվություն և կապ","Information and communication",380956,380956,380956,19926
"2018-01-31","K","Ընդամենը","Total","Ֆինանսական և ապահովագրական գործունեություն","Financial and insurance activities",334939,334939,334939,18825
"2018-01-31","L","Ընդամենը","Total","Անշարժ գույքի հետ կապված գործունեություն","Real estate activities",123134,123134,123134,7425
"2018-01-31","M","Ընդամենը","Total","Մասնագիտական, գիտական և տեխնիկական գործունեություն","Professional, scientific and technical activities",173916,173916,173916,18838
"2018-01-31","N","Ընդամենը","Total","Վարչարարական և օժանդակ գործունեություն","Administrative and support service activities",127880,127880,127880,11226
"2018-01-31","O","Ընդամենը","Total","Պետական կառավարում և պաշտպանություն, պարտադիր սոցիալական ապահովություն","Public administration and defence; compulsory social security",213739,213739,213739,36865
"2018-01-31","P","Ընդամենը","Total","Կրթություն","Education",114117,114117,114117,108115
"2018-01-31","Q","Ընդամենը","Total","Առողջապահություն և բնակչության սոցիալական սպասարկում","Human health and social work activities",140322,140322,140322,42893
"2018-01-31","R","Ընդամենը","Total","Մշակույթ, զվարճություններ և հանգիստ","Arts, entertainment and recreation",115457,115457,115457,15239
"2018-01-31","S","Ընդամենը","Total","Սպասարկման այլ ծառայություններ","Other service activities",122847,122847,122847,12311
"2018-02-28","58.2, 62, 63.1","Ոչ Պետական","Non-public","որից՝  տեղեկատվական  տեխնոլոգիաներ","including: information technologies",541954,541954,548201.5,9164
"2018-02-28","72","Ոչ Պետական","Non-public","որից՝  գիտական հետազոտություններ և մշակումներ","including: scientific reserch and development",197520,197520,197805,1356
"2018-02-28","90-91","Ոչ Պետական","Non-public","որից՝  մշակույթ և արվեստ","including: culture and art",273549,273549,NA,NA
"2018-02-28","90-91","Ոչ Պետական","Non-public","որից՝  մշակույթ և արվեստ","including: culture and art",NA,NA,NA,NA
"2018-02-28","90-91","Ոչ Պետական","Non-public","որից՝  մշակույթ և արվեստ","including: culture and art",NA,NA,NA,NA
"2018-02-28","A","Ոչ Պետական","Non-public","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Agriculture, forestry and fishing",115136,115136,116930,3520
"2018-02-28","A-S","Ոչ Պետական","Non-public","Ընդամենը","Total",184806,184806,183106.5,321972
"2018-02-28","B","Ոչ Պետական","Non-public","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Mining and quarrying",392518,392518,410510.5,9267
"2018-02-28","C","Ոչ Պետական","Non-public","Մշակող արդյունաբերություն","Manufacturing",149956,149956,151605,56386
"2018-02-28","D","Ոչ Պետական","Non-public","Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում","Electricity, gas, steam and air conditioning supply",298163,298163,259753.5,19048
