"code","arm","rus","eng","date","value"
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2015-Q3",53923.8
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2015-Q4",61398.8
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2016-Q1",61451.7
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2016-Q2",69317.2
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2016-Q3",69632.8
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2016-Q4",75782.29999999997
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2017-Q1",86227.6
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2017-Q2",87538.6
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2017-Q3",94401.3
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2017-Q4",105677.00000000001
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2018-Q1",83379.3
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2018-Q2",73050
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2018-Q3",64946.7
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2018-Q4",87995.20000000003
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2019-Q1",75890.8
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2019-Q2",82906.7
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2019-Q3",98490.3
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2019-Q4",101360.90000000001
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2020-Q1",88153.5
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2020-Q2",95491
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2020-Q3",111411.6
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2020-Q4",112458.19999999998
