"code","arm","rus","eng","date","value"
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2013-Q2",171608.5
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2013-Q3",598213.5
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2013-Q4",394290.7
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2014-Q1",86415.9
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2014-Q2",174907.5
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2014-Q3",590995.6
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2014-Q4",430473.2
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2015-Q1",94733.6
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2015-Q2",185922.4
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2015-Q3",591139.5
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2015-Q4",433345.1
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2016-Q1",93658.6
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2016-Q2",202631
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2016-Q3",586744.2
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2016-Q4",369668.8999999999
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2017-Q1",90197.9
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2017-Q2",196425.1
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2017-Q3",485845.7
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2017-Q4",485379.60000000015
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2018-Q1",107384.1
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2018-Q2",248591.3
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2018-Q3",484956.2
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2018-Q4",427462.49999999994
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2019-Q1",98954.5
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2019-Q2",225704.8
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2019-Q3",440602.4
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2019-Q4",397964.4
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2020-Q1",100743.6
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2020-Q2",200686.6
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2020-Q3",443541
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2020-Q4",356124.40000000014
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2021-Q1",103257.9
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2021-Q2",252947.8
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2021-Q3",442523.1
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2021-Q4",423052.5000000001
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2022-Q1",119175.1
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2022-Q2",278327
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2022-Q3",501384.2
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2022-Q4",462425.49999999994
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2023-Q1",126478.1
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2023-Q2",248415
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Сельское хозяйство, лесное хозяйство и рыболовство","Agriculture, hunting, forestry and fishing","2023-Q3",466463.8
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2013-Q1",49276.6
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2013-Q2",53715
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2013-Q3",51656.5
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2013-Q4",48572.9
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2014-Q1",46075.3
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2014-Q2",52028.9
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2014-Q3",52243.9
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2014-Q4",52013.4
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2015-Q1",57740
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Горнодобывающая промышленность, разработка открытых карьеров","Mining and quarrying","2015-Q2",61038.9
