country,cities,indicator_group,indicator,city_urls,mean_price,min_range,max_range,info_entries,info_contributers,last_update
Belarus,Minsk,Transportation,Taxi 1km (Normal Tariff),https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,0.3,0.15000000000000002,0.61,2053,0,2023-12-01
Belarus,Minsk,Transportation,Taxi 1hour Waiting (Normal Tariff),https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,6.03,5.45,9.09,2053,0,2023-12-01
Belarus,Minsk,Transportation,Gasoline (1 liter),https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,0.73,0.72,0.8200000000000001,2053,0,2023-12-01
Belarus,Minsk,Transportation,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,21209.66,12422.8,23000,2053,0,2023-12-01
Belarus,Minsk,Transportation,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,23902.72,21209.66,30299.51,2053,0,2023-12-01
Belarus,Minsk,Utilities (Monthly),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,49,34.339999999999996,74.4,2053,0,2023-12-01
Belarus,Minsk,Utilities (Monthly),Mobile Phone Monthly Plan with Calls and 10GB+ Data,https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,7.76,4.54,9.09,2053,0,2023-12-01
Belarus,Minsk,Utilities (Monthly),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,10.61,8.18,13,2053,0,2023-12-01
Belarus,Minsk,Sports And Leisure,"Fitness Club, Monthly Fee for 1 Adult",https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,31.75,24.24,45.45,2053,0,2023-12-01
Belarus,Minsk,Sports And Leisure,Tennis Court Rent (1 Hour on Weekend),https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,12.97,9.09,15.91,2053,0,2023-12-01
Belarus,Minsk,Sports And Leisure,"Cinema, International Release, 1 Seat",https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,4.54,3.03,6.06,2053,0,2023-12-01
Belarus,Minsk,Childcare,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,336.37,287.85,393.89,2053,0,2023-12-01
Belarus,Minsk,Childcare,"International Primary School, Yearly for 1 Child",https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,6665.89,6059.9,7271.88,2053,0,2023-12-01
Belarus,Minsk,Clothing And Shoes,1 Pair of Jeans (Levis 501 Or Similar),https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,58.879999999999995,21.21,135,2053,0,2023-12-01
Belarus,Minsk,Clothing And Shoes,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",https://www.numbeo.com/cost-of-living/in/Minsk?displayCurrency=USD,42.54,18.18,75.75,2053,0,2023-12-01
