"code","arm","eng","rus","year","production","vol_YoY_pct"
NA,"Ավելացված արժեք (համախառն, հիմնական գներով)","Value added (gross, at basic prices)","Добавленная стоимость (валовая, в основных ценах)",2022,7618557.799999999,113.1
NA,"Ավելացված արժեք (համախառն, հիմնական գներով)","Value added (gross, at basic prices)","Добавленная стоимость (валовая, в основных ценах)",2023,8486978.899999999,108.5
NA,"Ֆինանս.միջնորդության անուղղակի չափվող ծառայություններ (ՖՄԱՉԾ)","Financial Intermediate Services Indirectly Measured (FISIM)","Косвенно измеряемые услуги финансового посредничества (КИУФП)",2012,-92970.2,NA
NA,"Ֆինանս.միջնորդության անուղղակի չափվող ծառայություններ (ՖՄԱՉԾ)","Financial Intermediate Services Indirectly Measured (FISIM)","Косвенно измеряемые услуги финансового посредничества (КИУФП)",2013,-91572,95.8
NA,"Ֆինանս.միջնորդության անուղղակի չափվող ծառայություններ (ՖՄԱՉԾ)","Financial Intermediate Services Indirectly Measured (FISIM)","Косвенно измеряемые услуги финансового посредничества (КИУФП)",2014,-99958,106
NA,"Ֆինանս.միջնորդության անուղղակի չափվող ծառայություններ (ՖՄԱՉԾ)","Financial Intermediate Services Indirectly Measured (FISIM)","Косвенно измеряемые услуги финансового посредничества (КИУФП)",2015,-89161.6,87.5
NA,"Ֆինանս.միջնորդության անուղղակի չափվող ծառայություններ (ՖՄԱՉԾ)","Financial Intermediate Services Indirectly Measured (FISIM)","Косвенно измеряемые услуги финансового посредничества (КИУФП)",2016,-97243.9,108.7
NA,"Ֆինանս.միջնորդության անուղղակի չափվող ծառայություններ (ՖՄԱՉԾ)","Financial Intermediate Services Indirectly Measured (FISIM)","Косвенно измеряемые услуги финансового посредничества (КИУФП)",2017,-102935.4,104.5
NA,"Ֆինանս.միջնորդության անուղղակի չափվող ծառայություններ (ՖՄԱՉԾ)","Financial Intermediate Services Indirectly Measured (FISIM)","Косвенно измеряемые услуги финансового посредничества (КИУФП)",2018,-116655.8,110.8
NA,"Ֆինանս.միջնորդության անուղղակի չափվող ծառայություններ (ՖՄԱՉԾ)","Financial Intermediate Services Indirectly Measured (FISIM)","Косвенно измеряемые услуги финансового посредничества (КИУФП)",2019,-121756.9,103
NA,"Ֆինանս.միջնորդության անուղղակի չափվող ծառայություններ (ՖՄԱՉԾ)","Financial Intermediate Services Indirectly Measured (FISIM)","Косвенно измеряемые услуги финансового посредничества (КИУФП)",2020,-142821.3,116.5
NA,"Ֆինանս.միջնորդության անուղղակի չափվող ծառայություններ (ՖՄԱՉԾ)","Financial Intermediate Services Indirectly Measured (FISIM)","Косвенно измеряемые услуги финансового посредничества (КИУФП)",2021,-123082,84.5
NA,"Ֆինանս.միջնորդության անուղղակի չափվող ծառայություններ (ՖՄԱՉԾ)","Financial Intermediate Services Indirectly Measured (FISIM)","Косвенно измеряемые услуги финансового посредничества (КИУФП)",2022,-134764.3,101.7
NA,"Ֆինանս.միջնորդության անուղղակի չափվող ծառայություններ (ՖՄԱՉԾ)","Financial Intermediate Services Indirectly Measured (FISIM)","Косвенно измеряемые услуги финансового посредничества (КИУФП)",2023,-194532.3,136.4
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Agriculture, forestry and fishing","Сельское хозяйство, лесное хозяйство и рыболовство",2012,764237.5,NA
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Agriculture, forestry and fishing","Сельское хозяйство, лесное хозяйство и рыболовство",2013,839821.1,107.6
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Agriculture, forestry and fishing","Сельское хозяйство, лесное хозяйство и рыболовство",2014,872631.1,106.1
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Agriculture, forestry and fishing","Сельское хозяйство, лесное хозяйство и рыболовство",2015,868671,113.2
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Agriculture, forestry and fishing","Сельское хозяйство, лесное хозяйство и рыболовство",2016,830553.4,95
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Agriculture, forestry and fishing","Сельское хозяйство, лесное хозяйство и рыболовство",2017,834354.6,94.9
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Agriculture, forestry and fishing","Сельское хозяйство, лесное хозяйство и рыболовство",2018,838913.7999999998,93.1
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Agriculture, forestry and fishing","Сельское хозяйство, лесное хозяйство и рыболовство",2019,754157.8,94.2
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Agriculture, forestry and fishing","Сельское хозяйство, лесное хозяйство и рыболовство",2020,701633.9000000001,96.3
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Agriculture, forestry and fishing","Сельское хозяйство, лесное хозяйство и рыболовство",2021,793115.7,99.2
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Agriculture, forestry and fishing","Сельское хозяйство, лесное хозяйство и рыболовство",2022,862616.9,97.2
"A","Գյուղատնտեսություն, անտառային տնտեսություն և ձկնորսություն","Agriculture, forestry and fishing","Сельское хозяйство, лесное хозяйство и рыболовство",2023,801776.7,102.9
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Mining and quarrying","Горнодобывающая промышленность, разработка открытых карьеров",2012,115677.7,NA
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Mining and quarrying","Горнодобывающая промышленность, разработка открытых карьеров",2013,102686.8,105.9
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Mining and quarrying","Горнодобывающая промышленность, разработка открытых карьеров",2014,102553.2,93.6
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Mining and quarrying","Горнодобывающая промышленность, разработка открытых карьеров",2015,107717.5,156.8
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Mining and quarrying","Горнодобывающая промышленность, разработка открытых карьеров",2016,130835.2,105.9
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Mining and quarrying","Горнодобывающая промышленность, разработка открытых карьеров",2017,185510.3,125.7
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Mining and quarrying","Горнодобывающая промышленность, разработка открытых карьеров",2018,169794.8,84.5
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Mining and quarrying","Горнодобывающая промышленность, разработка открытых карьеров",2019,212868.3,137.1
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Mining and quarrying","Горнодобывающая промышленность, разработка открытых карьеров",2020,239209.8,111.2
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Mining and quarrying","Горнодобывающая промышленность, разработка открытых карьеров",2021,386785.0999999999,99.8
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Mining and quarrying","Горнодобывающая промышленность, разработка открытых карьеров",2022,334741,98.7
"B","Հանքագործական արդյունաբերություն և բացահանքերի շահագործում","Mining and quarrying","Горнодобывающая промышленность, разработка открытых карьеров",2023,278824.6,90.4
"C","Մշակող արդյունաբերություն","Manufacturing","Обрабатывющая промышленность",2012,402103.6,NA
"C","Մշակող արդյունաբերություն","Manufacturing","Обрабатывющая промышленность",2013,441103.1,107.7
"C","Մշակող արդյունաբերություն","Manufacturing","Обрабатывющая промышленность",2014,466754.6,106
"C","Մշակող արդյունաբերություն","Manufacturing","Обрабатывющая промышленность",2015,464325.5,94.5
"C","Մշակող արդյունաբերություն","Manufacturing","Обрабатывющая промышленность",2016,521153.4,111.1
"C","Մշակող արդյունաբերություն","Manufacturing","Обрабатывющая промышленность",2017,591568.3,111.8
"C","Մշակող արդյունաբերություն","Manufacturing","Обрабатывющая промышленность",2018,678235.3,111.2
"C","Մշակող արդյունաբերություն","Manufacturing","Обрабатывющая промышленность",2019,766320.6,109.5
"C","Մշակող արդյունաբերություն","Manufacturing","Обрабатывющая промышленность",2020,763150.3000000003,96
"C","Մշակող արդյունաբերություն","Manufacturing","Обрабатывющая промышленность",2021,771304.2999999998,102.6
"C","Մշակող արդյունաբերություն","Manufacturing","Обрабатывющая промышленность",2022,971902.1,112.5
"C","Մշակող արդյունաբերություն","Manufacturing","Обрабатывющая промышленность",2023,1050086.4,102.1
"D","Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում","Electricity, gas, steam and air conditioning supply","Обеспечение электроэнергией, газом, паром и кондиционированным воздухом",2012,154646,NA
"D","Էլեկտրականության, գազի, գոլորշու և լավորակ օդի մատակարարում","Electricity, gas, steam and air conditioning supply","Обеспечение электроэнергией, газом, паром и кондиционированным воздухом",2013,183232,102.8
